asdf_id,oco2_v10r_xco2_yearly.2015.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2016.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
38,399.479591798,402.714383691,411.716026627,409.317326223,405.244292585,402.76166917,ADM3,38,38,BOL,BOL-ADM3-33444609B36544235,San Juan,ADM3
39,397.347297181,402.612615786,407.069067614,409.956333082,405.360300255,401.414505138,ADM3,39,39,BOL,BOL-ADM3-33444609B69045844,Tinguipaya,ADM3
40,398.057804647,402.966516532,408.948077802,410.426361965,405.632797137,400.509158712,ADM3,40,40,BOL,BOL-ADM3-33444609B29777572,San Pedro,ADM3
41,398.841426149,405.025236451,408.961611081,412.212261155,407.234197073,403.26924577,ADM3,41,41,BOL,BOL-ADM3-33444609B4195370,Villa Ancoraimes,ADM3
42,398.955404198,403.962689749,409.105871489,411.05274122,406.111531922,402.144110648,ADM3,42,42,BOL,BOL-ADM3-33444609B80268637,"Colcha ""K""",ADM3
43,398.564469364,404.281629198,409.387223377,412.17093691,407.715925976,402.596655138,ADM3,43,43,BOL,BOL-ADM3-33444609B33602201,Puerto Mayor de Carabuco,ADM3
44,399.656447058,403.60765117,408.893233001,410.885714903,406.202406619,402.075719608,ADM3,44,44,BOL,BOL-ADM3-33444609B55181457,Sabaya,ADM3
45,398.706325259,402.995413931,407.786813919,410.10893743,405.686622398,401.240632961,ADM3,45,45,BOL,BOL-ADM3-33444609B74955412,Loreto,ADM3
46,398.356692631,403.572486389,408.813849766,410.292679121,406.703518356,401.793418378,ADM3,46,46,BOL,BOL-ADM3-33444609B79735413,Tomave,ADM3
47,398.442519687,403.128583157,408.151410418,410.058123827,407.112162484,401.681994797,ADM3,47,47,BOL,BOL-ADM3-33444609B50648219,Porco,ADM3
48,397.41399324,402.265314281,408.741505221,409.418670258,405.452928462,401.647848323,ADM3,48,48,BOL,BOL-ADM3-33444609B43551685,Villa Montes,ADM3
49,397.266227899,403.069956537,407.628984398,409.30515526,405.752921736,401.405547953,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,396.94879722,403.142544364,407.733727573,409.748745638,406.43003739,401.461391867,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,398.400078427,403.329219421,408.647516906,411.948044485,406.664533593,401.749646319,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,397.160888996,400.925212656,407.097093186,410.237516985,403.520263565,400.213099071,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,398.674372896,402.494531427,408.233106281,411.269045159,404.517331338,400.965792134,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,398.804890595,404.611645052,409.307123426,411.412964848,406.109450473,402.623358382,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,398.132118627,403.851906412,408.025811076,410.208141514,405.88061123,401.83103903,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,399.168829089,403.835994162,407.544073768,409.858217116,405.4942002,401.884566407,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,398.430952065,403.249124457,408.409861769,412.140726597,406.544034762,402.133566662,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,398.56199784,403.376314057,410.482634318,409.443110933,406.657681641,400.992174776,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,397.355356366,403.511990021,410.743842423,410.129367788,409.861016044,402.609583379,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,398.226842377,404.118488396,410.717444195,410.428157322,408.695941027,402.808410948,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,396.333381772,403.623823325,407.874574072,408.921425026,408.336126059,402.119104611,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,394.221798803,403.131217498,406.524364526,408.270615004,407.863227186,400.950942308,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,399.174730502,404.607797719,409.759787418,411.291807413,406.565890438,402.235081666,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,400.127765854,404.69002936,412.491682973,411.36576366,408.099370178,402.4229652,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,398.261861042,401.207850377,407.413025589,409.947278876,405.240851787,400.952710276,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,399.405374045,403.925666922,409.834756346,411.457013786,406.419034635,402.418002251,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,397.672123631,402.526744796,408.173402273,411.522349711,405.617543511,401.491465569,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,398.889382411,403.583689481,408.762630736,412.223002705,405.978637909,402.667910337,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,399.086137718,403.07630552,411.487233993,409.39824719,405.643149152,401.910196479,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,398.680921739,402.407478353,408.283911295,411.329927448,406.336442925,403.130702596,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,398.575740511,403.342742103,409.29125215,411.016310162,406.211573032,402.166459203,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,398.19500465,403.290694759,407.913584112,410.546825671,405.834883989,400.61213717,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,398.69780583,403.561220874,407.960235772,411.9091918,406.697792695,403.526832748,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,398.934198265,402.768342252,407.769015943,412.01124792,406.628558653,402.9478681,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,400.610567757,405.137413207,410.22155897,412.46400652,407.419867836,402.470701246,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,397.916363914,403.668345311,407.73343376,410.291892163,405.739436466,400.838844124,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,398.348498327,404.181340218,408.517827542,410.472133002,406.122494737,401.036561997,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,398.568455504,403.210282792,408.388274423,410.124125024,405.726369988,401.836511715,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,399.731439356,402.02581396,407.739435109,410.59216015,405.848230032,400.541745393,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,397.549088326,400.665139088,407.217383964,410.544322464,404.961065321,399.923075385,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,398.923618936,400.413273791,407.168060429,410.641599889,405.158307759,399.9983955,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,398.861510297,401.593274526,408.009972335,410.935624786,405.319275226,401.322467417,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,400.040295023,402.986957696,409.515203156,410.922637775,406.089627467,401.228365312,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,400.196827961,402.338627836,408.16284176,410.715440252,406.227596485,400.966710128,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,397.609184468,403.421129974,410.561954033,411.392083508,405.022366743,401.065884621,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,397.273151941,401.57697511,407.791074625,408.747340344,404.038153509,401.681844366,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,397.725384692,403.981973399,409.394059644,410.227461239,404.512630558,402.695230168,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,398.398216732,403.942238261,410.761325683,410.555976718,404.056555183,403.232493658,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,399.612759956,402.76007368,407.818822121,410.883943877,407.105452033,403.047344037,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,397.978862707,404.955486643,409.827855526,410.543348285,406.04363637,403.062627056,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,398.208534075,403.246824005,408.093258262,410.454600804,405.551940497,400.632762563,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,396.30766228,403.501746623,407.788529461,408.314578714,405.632704817,400.255721113,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,398.066672435,403.897334865,407.432018477,410.624337457,405.830071836,401.42901477,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,397.44009128,402.344240355,409.073036596,410.496281476,405.037651076,401.508637646,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,396.89658789,401.601563882,406.607891113,409.392475776,404.196045362,400.324039316,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,397.959714904,404.240738059,408.851550741,410.938380519,406.370227317,399.765412197,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,396.180260774,402.523034871,406.791507361,409.921261384,405.389071156,401.150605575,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,397.866375642,402.389221842,407.742425833,410.216671334,405.042330889,400.203173406,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,398.440214289,402.758675012,408.331364227,409.945724342,405.439129618,400.651600464,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,399.005555278,404.598273434,408.560187202,411.635294743,406.119062337,402.54604218,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,396.565941793,403.312289773,407.631788762,408.886626486,405.686042212,400.901655085,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
