asdf_id,shapeName,shapeID,year,pop,tr6_pop,tr100_pop,tr400_pop,ntl,tr6_ntl,tr100_ntl,tr400_ntl,NTL,t6NTL,t100NTL,t400NTL,ln_NTLpc,ln_t6NTLpc,ln_t100NTLpc,ln_t400NTLpc
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2020,2961.2444,2962.6821,2962.7117,2961.041,26.99120330810547,22.685204,19.411678,18.93158,2699120384,2268520448,1941167872,1893158016,13.722827,13.548543,13.392695,13.368216
3,Llallagua,BOL-ADM3-33444609B13957296,2012,41232.336,41429.965,41496.156,41510.445,652.833984375,656.85681,677.63013,681.2951,65283399680,65685680128,67763011584,68129509376,14.275025,14.276387,14.305926,14.310976
3,Llallagua,BOL-ADM3-33444609B13957296,2013,41785.758,41766.332,41874.457,41901.18,746.3242797851563,739.25256,750.48035,752.07233,74632429568,73925255168,75048034304,75207229440,14.39553,14.386475,14.398963,14.400444
3,Llallagua,BOL-ADM3-33444609B13957296,2014,42008.801,42138.895,42263.859,42297.648,825.3580932617188,831.16718,830.85333,830.11359,82535809024,83116720128,83085336576,83011354624,14.490864,14.494785,14.491446,14.489757
3,Llallagua,BOL-ADM3-33444609B13957296,2015,42489.727,42558.512,42666.648,42700.598,858.369384765625,934.09473,919.09741,916.03992,85836939264,93409476608,91909742592,91603992576,14.518698,14.601624,14.5829,14.578773
3,Llallagua,BOL-ADM3-33444609B13957296,2016,43108.047,43015.273,43082.523,43110.102,1112.248168945313,1048.6976,1015.3979,1010.4847,111224815616,104869765120,101539790848,101048475648,14.763354,14.706675,14.672844,14.667354
3,Llallagua,BOL-ADM3-33444609B13957296,2017,43508.594,43487.766,43509.336,43525.645,1196.713500976563,1159.676,1119.0167,1113.9146,119671349248,115967598592,111901671424,111391457280,14.827301,14.796342,14.760156,14.755211
3,Llallagua,BOL-ADM3-33444609B13957296,2018,43985.516,43968.59,43945.199,43946.707,1304.111572265625,1257.2256,1229.8319,1227.0226,130411159552,125722558464,122983194624,122702258176,14.902343,14.866113,14.844615,14.842294
3,Llallagua,BOL-ADM3-33444609B13957296,2019,44480.926,44453.668,44388.09,44372.727,1397.355102539063,1336.6693,1348.4667,1350.7783,139735515136,133666930688,134846668800,135077830656,14.960201,14.916414,14.926678,14.928737
3,Llallagua,BOL-ADM3-33444609B13957296,2020,44924.027,44941.316,44836.348,44803.18,1290.520874023438,1402.3627,1476.5557,1486.4883,129052090368,140236259328,147655573504,148648820736,14.870754,14.953482,15.007374,15.014818
4,Caripuyo,BOL-ADM3-33444609B2060227,2012,9241.0156,9195.2119,9172.8076,9154.6816,11.24274063110352,11.98362,10.345334,10.117025,1124274048,1198361984,1034533376,1011702528,11.708997,11.777783,11.633218,11.61288
4,Caripuyo,BOL-ADM3-33444609B2060227,2013,9179.7354,9206.5137,9177.0508,9159.4063,17.23329162597656,12.720101,11.970919,11.875426,1723329152,1272010112,1197091840,1187542656,12.14277,11.836198,11.7787,11.772615
4,Caripuyo,BOL-ADM3-33444609B2060227,2014,9252.2344,9208.7432,9177.4014,9162.2373,12.44546413421631,13.364666,13.863484,13.943092,1244546432,1336466560,1386348416,1394309248,11.809417,11.885386,11.92544,11.932819
4,Caripuyo,BOL-ADM3-33444609B2060227,2015,9251.8643,9197.2725,9173.6641,9163.2334,14.7135009765625,14.442989,16.140709,16.394701,1471350144,1444298880,1614070912,1639470080,11.976866,11.964228,12.077933,12.094685
4,Caripuyo,BOL-ADM3-33444609B2060227,2016,9114.1768,9174.4521,9166.4063,9162.6563,9.844965934753418,16.49309,18.956221,19.323059,984496576,1649308928,1895622016,1932305920,11.590055,12.099444,12.239512,12.259089
4,Caripuyo,BOL-ADM3-33444609B2060227,2017,9163.9531,9151.3125,9156.9609,9161.0049,24.83840751647949,20.506729,22.513044,22.843163,2483840768,2050672896,2251304448,2284316160,12.510039,12.319781,12.412506,12.426621
4,Caripuyo,BOL-ADM3-33444609B2060227,2018,9104.1152,9129.1807,9146.1563,9158.6553,29.67046165466309,26.338495,26.927633,27.057528,2967046144,2633849600,2692763392,2705752832,12.694351,12.572481,12.592745,12.596191
4,Caripuyo,BOL-ADM3-33444609B2060227,2019,9093.3965,9111.3672,9134.8584,9155.9746,33.19116592407227,34.18618,32.336773,32.085617,3319116544,3418618112,3233677312,3208561664,12.807661,12.835224,12.777033,12.766927
4,Caripuyo,BOL-ADM3-33444609B2060227,2020,9119.4424,9097.1455,9123.541,9153.207,46.89235305786133,44.711605,38.905064,38.06789,4689235456,4471160320,3890506240,3806789120,13.150372,13.105198,12.963192,12.938192
5,Aiquile,BOL-ADM3-33444609B22499454,2012,23986.42,23735.023,23710.025,23723.777,320.7195739746094,304.00092,296.96951,296.36404,32071956480,30400092160,29696950272,29636405248,14.106005,14.063004,14.040657,14.038036
5,Aiquile,BOL-ADM3-33444609B22499454,2013,23508.979,23505.979,23505.619,23518.715,330.4244689941406,322.01321,322.88901,322.88962,33042446336,32201320448,32288901120,32288962560,14.155921,14.130263,14.132995,14.13244
5,Aiquile,BOL-ADM3-33444609B22499454,2014,23179.283,23276.879,23305.154,23316.938,307.5560302734375,344.02707,351.34006,351.85846,30755602432,34402705408,35134005248,35185844224,14.098324,14.206185,14.226006,14.226974
5,Aiquile,BOL-ADM3-33444609B22499454,2015,22875.342,23072.16,23110.301,23118.654,353.1154479980469,375.44257,382.97607,383.59967,35311546368,37544255488,38297608192,38359965696,14.249661,14.302404,14.32062,14.321885
5,Aiquile,BOL-ADM3-33444609B22499454,2016,22949.064,22899.926,22921.447,22923.83,416.9564819335938,416.34265,418.06149,418.3598,41695649792,41634267136,41806147584,41835978752,14.41263,14.413301,14.416481,14.41709
5,Aiquile,BOL-ADM3-33444609B22499454,2017,22833.016,22737.064,22736.652,22731.773,503.6056213378906,462.14767,456.49524,456.30807,50360561664,46214766592,45649522688,45630808064,14.606511,14.524814,14.512526,14.51233
5,Aiquile,BOL-ADM3-33444609B22499454,2018,22573.273,22568.838,22554.314,22541.928,543.701904296875,505.94128,498.02802,497.59125,54370189312,50594127872,49802801152,49759125504,14.69456,14.622776,14.607656,14.607327
