asdf_id,shapeName,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020,tr100_pop2001,tr100_pop2002,tr100_pop2003,tr100_pop2004,tr100_pop2005,tr100_pop2006,tr100_pop2007,tr100_pop2008,tr100_pop2009,tr100_pop2010,tr100_pop2011,tr100_pop2012,tr100_pop2013,tr100_pop2014,tr100_pop2015,tr100_pop2016,tr100_pop2017,tr100_pop2018,tr100_pop2019,tr100_pop2020,tr400_pop2001,tr400_pop2002,tr400_pop2003,tr400_pop2004,tr400_pop2005,tr400_pop2006,tr400_pop2007,tr400_pop2008,tr400_pop2009,tr400_pop2010,tr400_pop2011,tr400_pop2012,tr400_pop2013,tr400_pop2014,tr400_pop2015,tr400_pop2016,tr400_pop2017,tr400_pop2018,tr400_pop2019,tr400_pop2020,tr6_pop2001,tr6_pop2002,tr6_pop2003,tr6_pop2004,tr6_pop2005,tr6_pop2006,tr6_pop2007,tr6_pop2008,tr6_pop2009,tr6_pop2010,tr6_pop2011,tr6_pop2012,tr6_pop2013,tr6_pop2014,tr6_pop2015,tr6_pop2016,tr6_pop2017,tr6_pop2018,tr6_pop2019,tr6_pop2020
10,Santiago de Huari,10122.455,10412.156,10695.973,11005.893,11307.682,11630.251,11953.505,12288.588,12642.961,13022.521,13372.785,13726.535,14102,14513.48,14922.045,15360.563,15800.41,16274.927,16737.682,17209.066,10123.003,10407.672,10700.336,11001.271,11310.691,11628.903,11956.159,12292.753,12638.956,12995.008,13361.18,13738.075,14126.41,14526.873,14939.941,15365.972,15805.101,16257.445,16723.023,17202,10120.58,10405.628,10698.703,11000.064,11309.958,11628.659,11956.444,12293.609,12640.451,12997.264,13364.353,13742.11,14130.965,14531.334,14943.561,15367.965,15804.813,16254.359,16716.805,17192.471,10123.563,10408.118,10700.479,11001.355,11310.734,11629.369,11957.539,12295.708,12643.658,12999.929,13362.76,13733.962,14117.279,14515.586,14929.43,15359.071,15803.503,16261.756,16732.229,17215.309
11,Paẕa,5430.0513,5455.1973,5476.2148,5524.4194,5598.1021,5607.6641,5648.5283,5686.8164,5743.0469,5792.9189,5846.2734,5955.1514,5969.627,5996.5151,6057.3325,6086.46,6157.2905,6188.9307,6241.3457,6290.1748,5410.1606,5450.4512,5491.2456,5532.8047,5575.2314,5618.562,5663.061,5708.8867,5756.0659,5804.3823,5853.5005,5902.939,5952.1362,6001.0449,6049.7847,6098.4316,6147.1533,6195.9863,6245.0884,6294.5317,5405.1528,5447.5356,5490.3086,5533.5698,5577.3638,5621.7295,5666.7456,5712.4702,5758.9102,5806.0098,5853.6626,5901.7397,5950.0815,5998.6475,6047.4717,6096.5537,6145.9399,6195.644,6245.708,6296.1646,5421.5698,5455.8232,5491.6597,5530.3994,5570.873,5610.9209,5652.7227,5697.9922,5747.8213,5801.521,5857.6162,5913.1484,5963.2266,6009.5786,6055.0664,6100.4912,6147.0771,6193.7827,6241.1948,6289.1372
12,Villa Rivero,5217.2646,5348.1548,5396.8838,5620.0249,5760.0884,5984.6372,6080.9717,6232.7954,6458.4668,6629.2017,6858.7886,7272.1484,7447.4521,7698.5122,7916.8301,8084.5303,8325.0244,8533.9395,8767.5234,9018.5586,5163.3813,5308.687,5458.6489,5614.4268,5776.6494,5946.0542,6123.2695,6309.4004,6505.1953,6710.6553,6925.2397,7147.4351,7374.8042,7605.8516,7839.7021,8076.3208,8316.5107,8561.2725,8811.8086,9069.1748,5145.9546,5298.1919,5455.126,5617.2227,5784.853,5958.4063,6138.2607,6324.8652,6518.5723,6719.4995,6927.5845,7142.5225,7363.7285,7590.895,7823.8608,8062.7227,8307.8154,8559.583,8818.5254,9085.1377,5200.5293,5327.9756,5461.3462,5607.2139,5761.8823,5923.4033,6089.2788,6267.0142,6463.5894,6681.0068,6920.6577,7175.1631,7425.2705,7665.4756,7893.5,8112.6177,8330.5537,8551.2441,8778.1074,9012.0381
13,Andamarca,4679.6909,4731.1484,4782.6084,4830.0195,4881.4873,4947.7832,5018.8589,5071.6055,5125.6768,5182.3599,5234.333,5290.7349,5339.0718,5424.5234,5494.8477,5548.4131,5609.7476,5667.1367,5732.7847,5807.0449,4675.9189,4729.1743,4783.0771,4837.6909,4893.0781,4949.2407,5006.0337,5063.3193,5121.0601,5179.3159,5238.1943,5297.8335,5358.3452,5419.7656,5481.9424,5544.7583,5608.23,5672.3955,5737.3335,5803.0542,4675.8076,4729.1968,4783.2046,4837.8525,4893.167,4949.1416,5005.7568,5062.9814,5120.8062,5179.2563,5238.3643,5298.1768,5358.7236,5420.019,5482.0366,5544.7529,5608.1709,5672.3145,5737.1968,5802.8325,4677.9263,4729.2466,4781.4214,4835.0669,4891.0254,4949.354,5008.541,5066.7539,5123.7466,5180.0767,5236.6362,5294.7271,5355.3413,5418.8511,5482.9829,5546.2974,5609.1982,5672.4878,5737.0713,5803.0317
14,Chacarilla,1586.0592,1619.4778,1645.2491,1681.016,1729.1342,1755.2041,1794.1758,1841.4492,1881.1864,1924.7014,1967.7828,2007.5176,2045.1378,2100.6909,2139.1533,2182.1929,2227.0889,2273.6318,2326.2979,2374.2493,1581.8761,1616.0522,1651.0107,1686.8494,1723.6156,1761.2972,1799.9366,1839.515,1879.951,1921.1742,1963.1188,2005.7495,2049.0774,2093.1296,2137.8977,2183.447,2229.8628,2277.2229,2325.5811,2374.9604,1581.9078,1616.2974,1651.4454,1687.3884,1724.1473,1761.7307,1800.1555,1839.4237,1879.5216,1920.4359,1962.1576,2004.6863,2048.0342,2092.2227,2137.2646,2183.1973,2230.0615,2277.9028,2326.7578,2376.6531,1584.4889,1616.7922,1650.016,1684.9023,1721.4628,1759.0538,1798.2544,1839.0466,1880.7266,1922.9247,1965.3142,2007.8347,2050.8369,2094.6494,2138.6746,2183.2722,2228.9124,2275.9214,2324.3516,2373.8723
15,Arbieto,9873.2871,10350.146,10982.25,11390.994,12068.503,12650.874,13375.626,14042.314,14758.996,15506.116,16325.072,17093.061,17839.953,18958.461,19876.848,21081.154,22281.617,23464.406,24769.832,26144.529,9867.4121,10373.238,10905.056,11464.03,12052.186,12670.938,13321.966,14006.803,14727.646,15487.256,16289.012,17136.881,18035.709,18990.445,20004.438,21080.873,22221.59,23428.275,24702.984,26047.992,9851.8311,10359.822,10894.059,11455.953,12047.198,12669.488,13324.646,14014.566,14741.445,15507.711,16315.985,17169.188,18070.436,19022.928,20029.502,21092.92,22215.613,23400.006,24648.693,25964.461,9869.2002,10375.207,10907.875,11464.971,12056.703,12682.048,13341.57,14030.105,14747.183,15494.185,16274.694,17094.979,17971.221,18922.291,19947.152,21050.197,22223.434,23461.725,24768.375,26147.348
16,Papel Pampa,5466.7915,5537.415,5609.5356,5713.7207,5759.0474,5840.9736,5942.1094,6056.5249,6127.9478,6156.6406,6231.1289,6343.0171,6441.1235,6508.6563,6579.8809,6692.3779,6788.1182,6856.4106,6951.834,7031.2046,5466.7969,5542.5698,5619.3926,5697.2261,5775.9277,5855.5161,5935.833,6016.5747,6097.4663,6178.6387,6260.5449,6343.4282,6427.2495,6511.9487,6597.6318,6684.3467,6771.9751,6860.4775,6949.9712,7040.5381,5470.9644,5545.6099,5621.2632,5697.9053,5775.4873,5853.9976,5933.3711,6013.5283,6094.3853,6175.9697,6258.4019,6341.7529,6426.0298,6511.2466,6597.4429,6684.6714,6772.9375,6862.2441,6952.6689,7044.252,5463.8521,5539.4731,5616.6226,5695.4819,5775.0908,5857.415,5941.8818,6025.1934,6103.8838,6179.4575,6257.4531,6339.9326,6424.7246,6510.0732,6596.7949,6685.5322,6774.1582,6861.5703,6948.9106,7036.5039
17,Umala,9212.2266,9275.9023,9280.2607,9245.9209,9008.3672,8997.8369,8944.9531,8883.5029,8830.3047,8670.3525,8626.4502,8631.8545,8579.4863,8542.6338,8551.9131,8463.1924,8349.4854,8322.9355,8286.04,8196.3838,9317.1777,9256.2891,9194.7646,9131.7578,9067.333,9002.6406,8938.2227,8874.5625,8812.1865,8751.71,8693.8955,8638.6865,8585.3672,8533.1504,8481.2354,8428.9277,8376.2246,8323.4932,8270.8027,8218.2256,9314.6279,9251.8418,9189.2324,9126.5957,9063.9785,9001.7051,8939.9619,8878.9131,8818.7363,8759.6182,8701.7588,8645.1396,8589.5527,8534.7705,8480.5313,8426.6055,8372.9502,8319.6133,8266.5762,8213.8301,9282.3496,9255.9541,9218.4355,9161.9834,9088.751,9014.1104,8940.2266,8866.6523,8793.6924,8724.2773,8667.0156,8621.7734,8582.0029,8542.9141,8499.3965,8446.4063,8387.3037,8328.0508,8268.4521,8207.4873
18,Oruro,196906.25,201842.13,208394.59,212934.69,217298.03,222941.16,228529.38,235709.95,241315.89,246890.06,253135.72,260075.77,267011.22,273951.72,281573.38,287548.44,294769.22,302054.19,309750.5,317430.88,197106.36,202126.89,207273.33,212543.5,217946.64,223496.72,229202.56,235066.63,241085.55,247261.19,253597.67,260096.05,266751.28,273558,280512.75,287615.22,294876.16,302306.56,309917.09,317716.22,197094.7,202121.3,207275.7,212559.72,217978.44,223537.66,229242.34,235095.78,241099.34,247255.77,253569.14,260041.48,266674.47,273469.59,280428.75,287555.44,294855.63,302336.25,310004,317865.03,197104.86,202201.89,207397.31,212597.02,217864.77,223327.55,229029.73,234954.56,240998.89,247174.89,253550.03,260149.39,266930.94,273835.47,280810.38,287817.72,294943.66,302237.38,309724.75,317402.16
19,Huayllamarca,5822.3477,5784.3071,5771.5146,5761.4287,5722.6021,5692.6758,5688.2686,5657.8984,5642.3765,5613.2695,5586.9546,5560.1597,5535.457,5514.3237,5493.6211,5483.959,5468.2134,5447.0879,5426.9238,5402.3086,5818.3208,5794.9741,5771.7598,5748.6108,5725.4619,5702.3682,5679.3677,5656.3843,5633.4507,5610.5942,5587.9482,5565.6582,5543.8647,5522.6465,5502.0024,5481.8433,5462.0024,5442.3379,5422.7646,5403.251,5817.3833,5794.1011,5770.9287,5747.8486,5724.8501,5701.9546,5679.1831,5656.5244,5633.999,5611.6274,5589.4404,5567.4951,5545.8159,5524.4214,5503.3145,5482.4497,5461.7734,5441.2378,5420.7998,5400.4434,5817.4385,5794.1729,5771.7871,5749.4658,5726.3848,5703.6191,5681.6265,5659.1143,5635.8799,5611.5093,5586.6426,5562.1831,5539.0664,5517.8979,5498.7026,5480.9233,5463.2271,5444.7622,5425.4907,5405.7354
