asdf_id,shapeName,shapeID,year,pop,tr6_pop,tr100_pop,tr400_pop
6,Sacaca,BOL-ADM3-33444609B14646898,2019,20301.313,20298.389,20289.293,20285.637
6,Sacaca,BOL-ADM3-33444609B14646898,2020,20390.607,20386.232,20366.547,20359.982
7,Acasio,BOL-ADM3-33444609B19396342,2012,6324.7026,6317.8057,6313.4634,6313.9028
7,Acasio,BOL-ADM3-33444609B19396342,2013,6354.4849,6339.062,6335.7319,6336.3423
7,Acasio,BOL-ADM3-33444609B19396342,2014,6374.6982,6357.5698,6358.0122,6358.8975
7,Acasio,BOL-ADM3-33444609B19396342,2015,6344.9238,6375.1528,6380.5049,6381.6187
7,Acasio,BOL-ADM3-33444609B19396342,2016,6393.9258,6396.4126,6403.5967,6404.5918
7,Acasio,BOL-ADM3-33444609B19396342,2017,6426.2617,6421.123,6427.3291,6427.8257
7,Acasio,BOL-ADM3-33444609B19396342,2018,6435.4756,6448.6709,6451.6299,6451.2974
7,Acasio,BOL-ADM3-33444609B19396342,2019,6485.4453,6479.2593,6476.4175,6474.9663
7,Acasio,BOL-ADM3-33444609B19396342,2020,6517.0322,6510.9609,6501.4614,6498.7651
8,Huanuni,BOL-ADM3-33444609B48998442,2012,24172.211,24420.379,24435.662,24442.537
8,Huanuni,BOL-ADM3-33444609B48998442,2013,25006.039,24978.543,24967.518,24968.326
8,Huanuni,BOL-ADM3-33444609B48998442,2014,25643,25550.928,25511.045,25505.986
8,Huanuni,BOL-ADM3-33444609B48998442,2015,26234.617,26115.848,26064.145,26055.049
8,Huanuni,BOL-ADM3-33444609B48998442,2016,26747.563,26665.043,26625.984,26615.398
8,Huanuni,BOL-ADM3-33444609B48998442,2017,27025.199,27209.355,27197.344,27187.307
8,Huanuni,BOL-ADM3-33444609B48998442,2018,27778.363,27774.443,27780.324,27771.451
8,Huanuni,BOL-ADM3-33444609B48998442,2019,28360.246,28357.246,28375.426,28368.092
8,Huanuni,BOL-ADM3-33444609B48998442,2020,28972.629,28955.094,28983.189,28977.553
9,Huachacalla,BOL-ADM3-33444609B43353864,2012,848.68634,863.43579,857.65576,852.92615
9,Huachacalla,BOL-ADM3-33444609B43353864,2013,806.89105,823.18188,822.51648,819.18671
9,Huachacalla,BOL-ADM3-33444609B43353864,2014,800.15308,786.40045,788.33966,786.46722
9,Huachacalla,BOL-ADM3-33444609B43353864,2015,767.57996,750.7973,755.21771,754.80511
9,Huachacalla,BOL-ADM3-33444609B43353864,2016,706.02332,716.44928,723.3335,724.25952
9,Huachacalla,BOL-ADM3-33444609B43353864,2017,675.42578,685.8374,692.94739,694.90564
9,Huachacalla,BOL-ADM3-33444609B43353864,2018,657.39203,659.47882,664.11035,666.75922
9,Huachacalla,BOL-ADM3-33444609B43353864,2019,636.01538,636.25586,636.69318,639.78247
9,Huachacalla,BOL-ADM3-33444609B43353864,2020,621.46881,614.89594,610.51611,613.9162
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2012,13726.535,13733.962,13738.075,13742.11
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2013,14102,14117.279,14126.41,14130.965
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2014,14513.48,14515.586,14526.873,14531.334
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2015,14922.045,14929.43,14939.941,14943.561
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2016,15360.563,15359.071,15365.972,15367.965
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2017,15800.41,15803.503,15805.101,15804.813
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2018,16274.927,16261.756,16257.445,16254.359
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2019,16737.682,16732.229,16723.023,16716.805
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2020,17209.066,17215.309,17202,17192.471
11,Paẕa,BOL-ADM3-33444609B81698958,2012,5955.1514,5913.1484,5902.939,5901.7397
11,Paẕa,BOL-ADM3-33444609B81698958,2013,5969.627,5963.2266,5952.1362,5950.0815
11,Paẕa,BOL-ADM3-33444609B81698958,2014,5996.5151,6009.5786,6001.0449,5998.6475
11,Paẕa,BOL-ADM3-33444609B81698958,2015,6057.3325,6055.0664,6049.7847,6047.4717
11,Paẕa,BOL-ADM3-33444609B81698958,2016,6086.46,6100.4912,6098.4316,6096.5537
11,Paẕa,BOL-ADM3-33444609B81698958,2017,6157.2905,6147.0771,6147.1533,6145.9399
11,Paẕa,BOL-ADM3-33444609B81698958,2018,6188.9307,6193.7827,6195.9863,6195.644
11,Paẕa,BOL-ADM3-33444609B81698958,2019,6241.3457,6241.1948,6245.0884,6245.708
11,Paẕa,BOL-ADM3-33444609B81698958,2020,6290.1748,6289.1372,6294.5317,6296.1646
12,Villa Rivero,BOL-ADM3-33444609B39428862,2012,7272.1484,7175.1631,7147.4351,7142.5225
12,Villa Rivero,BOL-ADM3-33444609B39428862,2013,7447.4521,7425.2705,7374.8042,7363.7285
12,Villa Rivero,BOL-ADM3-33444609B39428862,2014,7698.5122,7665.4756,7605.8516,7590.895
12,Villa Rivero,BOL-ADM3-33444609B39428862,2015,7916.8301,7893.5,7839.7021,7823.8608
12,Villa Rivero,BOL-ADM3-33444609B39428862,2016,8084.5303,8112.6177,8076.3208,8062.7227
12,Villa Rivero,BOL-ADM3-33444609B39428862,2017,8325.0244,8330.5537,8316.5107,8307.8154
12,Villa Rivero,BOL-ADM3-33444609B39428862,2018,8533.9395,8551.2441,8561.2725,8559.583
12,Villa Rivero,BOL-ADM3-33444609B39428862,2019,8767.5234,8778.1074,8811.8086,8818.5254
12,Villa Rivero,BOL-ADM3-33444609B39428862,2020,9018.5586,9012.0381,9069.1748,9085.1377
13,Andamarca,BOL-ADM3-33444609B55151365,2012,5290.7349,5294.7271,5297.8335,5298.1768
13,Andamarca,BOL-ADM3-33444609B55151365,2013,5339.0718,5355.3413,5358.3452,5358.7236
13,Andamarca,BOL-ADM3-33444609B55151365,2014,5424.5234,5418.8511,5419.7656,5420.019
13,Andamarca,BOL-ADM3-33444609B55151365,2015,5494.8477,5482.9829,5481.9424,5482.0366
13,Andamarca,BOL-ADM3-33444609B55151365,2016,5548.4131,5546.2974,5544.7583,5544.7529
13,Andamarca,BOL-ADM3-33444609B55151365,2017,5609.7476,5609.1982,5608.23,5608.1709
13,Andamarca,BOL-ADM3-33444609B55151365,2018,5667.1367,5672.4878,5672.3955,5672.3145
13,Andamarca,BOL-ADM3-33444609B55151365,2019,5732.7847,5737.0713,5737.3335,5737.1968
13,Andamarca,BOL-ADM3-33444609B55151365,2020,5807.0449,5803.0317,5803.0542,5802.8325
14,Chacarilla,BOL-ADM3-33444609B33779243,2012,2007.5176,2007.8347,2005.7495,2004.6863
14,Chacarilla,BOL-ADM3-33444609B33779243,2013,2045.1378,2050.8369,2049.0774,2048.0342
14,Chacarilla,BOL-ADM3-33444609B33779243,2014,2100.6909,2094.6494,2093.1296,2092.2227
14,Chacarilla,BOL-ADM3-33444609B33779243,2015,2139.1533,2138.6746,2137.8977,2137.2646
14,Chacarilla,BOL-ADM3-33444609B33779243,2016,2182.1929,2183.2722,2183.447,2183.1973
14,Chacarilla,BOL-ADM3-33444609B33779243,2017,2227.0889,2228.9124,2229.8628,2230.0615
14,Chacarilla,BOL-ADM3-33444609B33779243,2018,2273.6318,2275.9214,2277.2229,2277.9028
14,Chacarilla,BOL-ADM3-33444609B33779243,2019,2326.2979,2324.3516,2325.5811,2326.7578
14,Chacarilla,BOL-ADM3-33444609B33779243,2020,2374.2493,2373.8723,2374.9604,2376.6531
15,Arbieto,BOL-ADM3-33444609B65270572,2012,17093.061,17094.979,17136.881,17169.188
15,Arbieto,BOL-ADM3-33444609B65270572,2013,17839.953,17971.221,18035.709,18070.436
15,Arbieto,BOL-ADM3-33444609B65270572,2014,18958.461,18922.291,18990.445,19022.928
15,Arbieto,BOL-ADM3-33444609B65270572,2015,19876.848,19947.152,20004.438,20029.502
15,Arbieto,BOL-ADM3-33444609B65270572,2016,21081.154,21050.197,21080.873,21092.92
15,Arbieto,BOL-ADM3-33444609B65270572,2017,22281.617,22223.434,22221.59,22215.613
15,Arbieto,BOL-ADM3-33444609B65270572,2018,23464.406,23461.725,23428.275,23400.006
