asdf_id,population_2020,urbano_2012,sdg1_1_eepr,sdg1_1_ubn,sdg1_2_mpi,sdg1_4_abs,sdg2_2_cmc,sdg2_2_oww,sdg2_4_pual,sdg2_4_td,sdg3_1_idca,sdg3_2_imr,sdg3_2_mrc,sdg3_3_cdir,sdg3_3_di,sdg3_3_imr,sdg3_3_ti,sdg3_3_hivi,sdg3_7_afr,sdg4_1_ssdrm,sdg4_1_ssdrf,sdg4_4_phe,sdg4_6_lr,sdg4_c_qti,sdg4_c_qts,sdg5_1_gpsd,sdg5_1_gpyp,sdg5_1_gpmpi,sdg5_5_gpop,sdg6_1_dwc,sdg6_2_sc,sdg6_3_wwt,sdg7_1_ec,sdg7_1_rec,sdg7_1_cce,sdg7_3_co2epc,sdg8_4_rem,sdg8_5_oprm,sdg8_5_ofrm,sdg8_6_mlm,sdg8_6_wlm,sdg8_10_dbb,sdg8_11_idi,sdg9_1_routes,sdg9_5_cd,sdg9_5_eutf,sdg9_c_mnc,sdg9_c_drb,sdg10_2_gcye,sdg10_2_iec,sdg10_2_nssp,sdg11_1_hocr,sdg11_1_hno,sdg11_2_samt,sdg13_1_ccvi,sdg13_2_tco2e,sdg13_2_dra,sdg15_1_pa,sdg15_5_blr,sdg16_1_rhr,sdg16_6_pbec,sdg16_9_cr,sdg17_1_pmtax,sdg17_5_pipc
271,36383,73.800003,39.5,75.0,0.182,40.799999,12.5,31.200001,114.2,140.60001,74.5,18.5,22.9,0.0,0.0,0.0,44.799999,391.10001,106.2,5.0,4.0999999,9.3000002,97.099998,61.099998,37.299999,1.3,0.89999998,0.89999998,0.60000002,57.799999,18.700001,0.0,84.0,156,61.200001,1.1,3.4000001,71.400002,41.400002,10.5,30.6,23.200001,1.4,1,2.3,0.0,52.900002,2.0,0.37,144.0,8.3000002,47.200001,14.9,6.3000002,1.0,82.599998,1.33,13.9,0.87199998,5.0999999,87.800003,79.199997,3.8,144
272,13358,18.700001,54.900002,82.400002,0.204,39.400002,15.1,32.099998,332.79999,102.5,68.0,24.4,32.900002,0.0,2.3,0.0,45.5,19.1,110.4,5.6999998,7.0999999,7.4000001,96.5,66.699997,69.199997,0.89999998,0.89999998,1.2,0.5,71.900002,64.800003,0.0,65.699997,90,26.200001,0.1,5.4000001,78.900002,41.900002,13.3,33.900002,7.5,0.80000001,1,2.5,19.6,34.799999,3.5,0.36000001,125.0,4.3000002,44.099998,22.9,0.0,1.4,111.4,1.15,0.40000001,0.46900001,0.0,79.0,89.400002,2.5,264
273,9154,0.0,84.900002,82.5,0.17,22.200001,18.1,23.4,2.4000001,2.5999999,30.4,34.299999,45.5,0.0,0.0,0.0,0.0,0.0,65.199997,7.0999999,8.6999998,5.4000001,83.800003,81.0,73.199997,0.89999998,0.69999999,0.80000001,0.80000001,81.099998,31.6,0.0,72.099998,35,23.5,0.1,16.0,75.900002,61.200001,7.1999998,17.799999,10.9,0.30000001,1,5.4000001,0.0,39.299999,1.0,0.54000002,34.0,40.299999,12.4,73.900002,7.4000001,1.6,0.1,0.0,0.0,0.0,0.0,68.300003,91.900002,0.1,678
274,10945,0.0,58.900002,86.400002,0.17,26.5,18.1,23.4,5.0,50.299999,43.0,41.0,52.599998,1.2,0.0,0.0,18.200001,0.0,67.300003,3.2,3.2,4.4000001,87.900002,100.0,56.400002,1.1,0.89999998,0.89999998,0.80000001,70.5,34.200001,0.0,74.900002,76,23.200001,0.1,11.9,80.400002,62.700001,6.3000002,17.1,9.1000004,0.2,2,2.8,11.1,41.400002,1.6,0.44999999,44.0,37.5,18.5,66.099998,4.9000001,1.5,0.1,0.0,1.7,0.0020000001,0.0,83.300003,89.5,0.1,451
275,14167,51.299999,34.799999,54.900002,0.061999999,83.0,7.5999999,32.799999,73.0,531.79999,76.800003,18.700001,22.200001,0.0,0.0,0.0,65.0,18.299999,98.099998,3.5,2.7,8.8000002,96.5,16.0,53.299999,1.3,1.0,1.0,0.5,94.400002,39.799999,0.0,93.199997,286,82.099998,1.4,4.9000001,70.800003,32.200001,8.6999998,31.700001,21.5,0.2,1,2.5,17.4,72.400002,5.5,0.34999999,228.0,4.6999998,50.299999,10.7,49.799999,1.5,1.6,3.1700001,0.0,0.13,0.0,67.800003,86.5,13.1,415
276,214246,83.800003,32.099998,43.299999,0.043000001,79.5,7.5999999,32.799999,64.800003,510.5,84.699997,22.5,27.9,0.0,0.2,0.0,82.699997,113.7,102.5,5.8000002,4.4000001,11.6,96.900002,50.0,52.299999,1.3,1.0,1.0,0.60000002,98.900002,31.9,0.0,94.800003,296,90.5,1.5,6.3000002,71.800003,41.299999,9.6000004,29.799999,11.9,4.0,3,0.0,0.0,73.400002,5.4000001,0.34,167.0,3.8,43.5,17.4,374.79999,1.0,1.5,4.6599998,0.0,0.12800001,3.0,87.199997,83.0,35.799999,775
277,14065,37.099998,28.200001,62.200001,0.097000003,69.900002,7.5999999,32.799999,20.299999,333.5,77.199997,23.5,28.700001,0.0,0.69999999,0.0,55.200001,34.0,87.099998,4.8000002,3.7,7.3000002,94.199997,20.0,61.299999,1.4,0.89999998,1.1,0.40000001,96.699997,47.700001,0.0,85.599998,222,70.699997,0.30000001,6.0999999,71.199997,29.0,12.2,36.299999,13.9,0.69999999,1,3.5999999,25.799999,60.299999,2.0999999,0.40000001,114.0,7.3000002,51.099998,19.4,7.5999999,1.1,0.40000001,9.6700001,0.0,0.061999999,0.0,72.900002,83.599998,7.1999998,548
278,47473,26.0,29.299999,48.799999,0.102,73.199997,7.5999999,32.799999,221.3,801.79999,79.5,20.299999,24.4,0.0,0.40000001,0.0,46.900002,51.900002,60.900002,7.0,4.4000001,5.8000002,97.800003,100.0,80.0,1.6,0.89999998,1.7,0.60000002,94.400002,63.5,0.0,82.099998,185,86.599998,3.9000001,7.3000002,78.099998,43.599998,10.6,31.4,15.3,1.3,3,1.7,31.0,44.400002,2.3,0.33000001,173.0,36.299999,41.0,9.3000002,938.0,1.9,78.5,5.4499998,13.7,1.98,0.80000001,79.800003,81.699997,15.3,678
279,19808,59.200001,35.900002,57.099998,0.079000004,72.099998,7.5999999,32.799999,62.099998,652.0,79.900002,16.6,20.4,0.0,0.0,0.0,54.700001,0.0,70.199997,3.7,1.7,10.0,94.0,50.0,70.400002,2.4000001,1.0,1.0,0.40000001,95.099998,56.700001,0.0,89.199997,167,81.099998,0.2,5.8000002,74.599998,32.0,8.3000002,33.900002,10.6,0.69999999,1,3.2,16.700001,63.400002,2.9000001,0.38999999,137.0,5.8000002,46.200001,17.9,0.80000001,1.1,1.4,9.71,0.0,0.192,0.0,76.400002,85.0,11.3,1390
280,27261,78.900002,32.900002,52.299999,0.075999998,76.699997,7.5999999,32.799999,32.900002,549.29999,84.0,22.9,27.700001,0.0,0.0,0.0,53.099998,154.89999,80.699997,7.1999998,4.0999999,9.5,95.900002,71.400002,50.0,1.9,1.0,1.3,0.5,97.900002,15.5,80.5,89.800003,262,82.699997,1.5,4.1999998,71.5,34.200001,11.1,35.700001,26.200001,0.5,3,3.0,11.8,65.5,2.5,0.36000001,178.0,5.5,47.099998,17.0,10.7,1.0,1.5,4.0100002,0.0,0.059,2.5999999,92.400002,83.900002,4.0,856
