asdf_id,shapeName,year,ntl,tr6_ntl,tr100_ntl,tr400_ntl
8,Huanuni,2017,704.9302368164063,681.1366,681.2016,681.33411
8,Huanuni,2018,761.9534912109375,742.98016,740.11603,740.00165
8,Huanuni,2019,817.8734130859375,806.5296,803.89874,803.66724
8,Huanuni,2020,853.3568725585938,872.42249,872.9801,872.76031
9,Huachacalla,2012,24.26772117614746,22.34296,21.29026,21.189911
9,Huachacalla,2013,24.08892059326172,23.017492,23.031019,23.020304
9,Huachacalla,2014,21.77209091186523,24.027945,24.94673,25.017298
9,Huachacalla,2015,20.50360679626465,25.943066,27.10479,27.209059
9,Huachacalla,2016,29.56398963928223,29.108828,29.55172,29.619381
9,Huachacalla,2017,39.51408767700195,32.84193,32.254047,32.252754
9,Huachacalla,2018,40.24663925170898,36.142254,35.157047,35.109203
9,Huachacalla,2019,37.11030197143555,38.762775,38.256996,38.202961
9,Huachacalla,2020,38.83644104003906,41.184605,41.6017,41.562283
10,Santiago de Huari,2012,61.29078674316406,63.939373,73.23893,74.772377
10,Santiago de Huari,2013,75.40400695800781,80.859016,85.017975,85.631516
10,Santiago de Huari,2014,101.1589660644531,101.56589,98.515785,98.018913
10,Santiago de Huari,2015,135.7329864501953,124.46154,113.61418,112.05134
10,Santiago de Huari,2016,144.153564453125,146.05527,130.05052,127.83028
10,Santiago de Huari,2017,193.8070068359375,163.35995,147.61691,145.49557
10,Santiago de Huari,2018,182.5449829101563,172.96689,166.1675,165.22791
10,Santiago de Huari,2019,152.3004760742188,176.96436,186.02141,187.35492
10,Santiago de Huari,2020,174.4306488037109,180.12592,207.88239,212.34102
11,Paẕa,2012,43.75637435913086,44.014637,41.005814,40.568684
11,Paẕa,2013,48.97775650024414,44.582081,43.368553,43.205326
11,Paẕa,2014,44.30027770996094,45.114399,45.897099,46.022015
11,Paẕa,2015,47.03004837036133,46.25787,48.695423,49.056194
11,Paẕa,2016,38.96573638916016,48.59948,51.872898,52.347992
11,Paẕa,2017,58.15861511230469,53.047554,55.545029,55.939045
11,Paẕa,2018,58.89419937133789,58.87664,59.685299,59.834049
11,Paẕa,2019,67.49701690673828,65.995705,64.278938,64.040306
11,Paẕa,2020,75.68199157714844,74.208755,69.287155,68.559135
12,Villa Rivero,2012,75.32757568359375,72.245117,73.132561,73.375954
12,Villa Rivero,2013,82.33297729492188,81.468956,82.749535,82.901985
12,Villa Rivero,2014,81.91298675537109,92.486847,93.658653,93.670799
12,Villa Rivero,2015,102.1983795166016,106.58762,106.06339,105.85059
12,Villa Rivero,2016,126.1454010009766,123.33149,120.04467,119.59331
12,Villa Rivero,2017,163.7376403808594,140.75365,135.5948,135.04633
12,Villa Rivero,2018,157.6020202636719,156.20982,152.70186,152.37601
12,Villa Rivero,2019,165.0632934570313,170.28529,171.61104,171.83507
12,Villa Rivero,2020,177.1277160644531,184.43231,192.69922,193.7359
13,Andamarca,2012,13.85526847839355,13.10672,13.099872,13.116798
13,Andamarca,2013,15.7766227722168,15.630213,15.810235,15.828369
13,Andamarca,2014,16.05485343933105,18.805941,19.092037,19.103075
13,Andamarca,2015,22.94095993041992,23.06698,23.080492,23.061438
13,Andamarca,2016,28.69513511657715,28.416523,27.899551,27.838846
13,Andamarca,2017,41.74352645874023,34.607567,33.679352,33.593895
13,Andamarca,2018,43.23688507080078,41.077595,40.56234,40.514248
13,Andamarca,2019,38.08316040039063,48.274189,48.796116,48.845467
13,Andamarca,2020,62.78795623779297,57.530758,58.740242,58.89933
14,Chacarilla,2012,3.99250054359436,5.3747001,6.0724354,6.1710987
14,Chacarilla,2013,10.38287734985352,7.3739929,7.4937816,7.5235419
14,Chacarilla,2014,9.286788940429688,9.6470146,9.2091093,9.1623993
14,Chacarilla,2015,14.53322601318359,12.121249,11.259223,11.142959
14,Chacarilla,2016,10.41654682159424,14.643372,13.68374,13.529686
14,Chacarilla,2017,22.51545715332031,17.529198,16.559475,16.407808
14,Chacarilla,2018,20.5456657409668,20.292189,19.933701,19.869398
14,Chacarilla,2019,20.67998886108398,23.075825,23.917704,24.039772
14,Chacarilla,2020,26.21479415893555,26.237663,28.672298,29.077974
15,Arbieto,2012,272.156494140625,271.47125,274.90033,275.40204
15,Arbieto,2013,325.8766479492188,322.33215,324.04272,324.25171
15,Arbieto,2014,348.9293823242188,382.87674,381.93146,381.75449
15,Arbieto,2015,493.6933288574219,455.95834,450.0965,449.43423
15,Arbieto,2016,553.8282470703125,537.50751,529.84888,528.95923
15,Arbieto,2017,666.8807373046875,627.26147,623.03809,622.37299
15,Arbieto,2018,660.0343627929688,728.1192,732.10754,732.14386
15,Arbieto,2019,816.1282348632813,853.0813,860.61865,861.35602
15,Arbieto,2020,1060.611694335938,1007.7074,1012.1629,1013.4882
16,Papel Pampa,2012,3.686506748199463,4.7673459,6.2948651,6.5581708
16,Papel Pampa,2013,7.06254243850708,6.701942,7.281004,7.3774257
16,Papel Pampa,2014,10.78797626495361,9.0418816,8.3766851,8.2870798
16,Papel Pampa,2015,12.56017684936523,11.329947,9.5317688,9.2811069
16,Papel Pampa,2016,10.54038238525391,13.126559,10.693946,10.354138
16,Papel Pampa,2017,16.9334545135498,14.231037,11.825113,11.504966
16,Papel Pampa,2018,16.36645126342773,14.107342,12.881166,12.731363
16,Papel Pampa,2019,15.29287052154541,12.847527,13.86515,14.043179
16,Papel Pampa,2020,7.776403427124023,11.059175,14.828281,15.463533
17,Umala,2012,21.61581420898438,20.397776,20.254486,20.28031
17,Umala,2013,24.51025390625,25.555719,25.858097,25.894569
17,Umala,2014,34.15711975097656,32.316547,33.033482,33.068279
17,Umala,2015,38.92636871337891,41.354076,42.232338,42.237007
17,Umala,2016,33.48572158813477,54.168571,54.058445,53.96336
17,Umala,2017,114.8324203491211,72.758575,69.254913,68.957947
17,Umala,2018,115.6354751586914,92.956207,88.342339,88.021088
17,Umala,2019,103.7245864868164,112.71755,112.19505,112.22758
17,Umala,2020,118.6930541992188,134.04524,142.23093,143.0242
18,Oruro,2012,10174.353515625,10433.95,11465.312,11634.674
18,Oruro,2013,11893.478515625,12404.503,12866.674,12933.822
18,Oruro,2014,14688.18359375,14687.843,14422.09,14373.209
18,Oruro,2015,16943.4921875,17136.131,16114.279,15958.745
18,Oruro,2016,20910.83203125,19488.166,17915.713,17694.9
18,Oruro,2017,23291.400390625,21334.072,19794.004,19586.357
18,Oruro,2018,22807.41015625,22452.23,21737.926,21644.588
18,Oruro,2019,22458.673828125,23007.346,23774.061,23892.207
18,Oruro,2020,21705.97265625,23308.938,25954.49,26360.348
19,Huayllamarca,2012,16.7787971496582,19.563179,22.462519,22.90625
19,Huayllamarca,2013,26.02961921691895,25.237856,26.148037,26.3025
19,Huayllamarca,2014,36.27765274047852,31.768532,30.349556,30.178808
19,Huayllamarca,2015,40.94314193725586,38.260498,35.01965,34.571678
19,Huayllamarca,2016,38.21443557739258,44.158512,40.124199,39.527679
19,Huayllamarca,2017,57.17694854736328,49.453587,45.666916,45.110699
19,Huayllamarca,2018,56.96803665161133,53.169617,51.624268,51.386921
19,Huayllamarca,2019,49.37664794921875,55.572262,58.088905,58.462265
19,Huayllamarca,2020,56.14983367919922,57.812908,65.264915,66.483765
20,San Pedro de Curahuara,2012,7.507875442504883,8.10744,9.2218704,9.4109144
20,San Pedro de Curahuara,2013,10.92977905273438,10.202288,10.714055,10.791354
20,San Pedro de Curahuara,2014,10.96736621856689,12.68156,12.422123,12.367299
20,San Pedro de Curahuara,2015,18.72650337219238,15.550936,14.346236,14.157857
20,San Pedro de Curahuara,2016,14.20230770111084,18.357132,16.452528,16.176369
20,San Pedro de Curahuara,2017,28.68544006347656,20.969461,18.72798,18.444523
20,San Pedro de Curahuara,2018,26.90866088867188,22.363468,21.119461,20.977703
20,San Pedro de Curahuara,2019,18.33089065551758,22.587627,23.650057,23.813963
20,San Pedro de Curahuara,2020,21.14345169067383,22.575998,26.424843,27.017149
21,Sicaya,2012,13.80983924865723,13.401731,12.815099,12.748178
21,Sicaya,2013,15.72695732116699,14.496752,14.391018,14.373927
21,Sicaya,2014,14.18814468383789,15.756679,16.172821,16.210251
