asdf_id,shapeName,co2015,co2016,co2017,co2018,co2019,co2020,shapeID,tr100_co2015,tr100_co2016,tr100_co2017,tr100_co2018,tr100_co2019,tr100_co2020,tr400_co2015,tr400_co2016,tr400_co2017,tr400_co2018,tr400_co2019,tr400_co2020,tr6_co2015,tr6_co2016,tr6_co2017,tr6_co2018,tr6_co2019,tr6_co2020
23,Capinota,399.8317,401.16803,403.19742,405.19339,410.85245,411.19205,BOL-ADM3-33444609B45253703,399.01038,401.46793,403.94891,406.45877,408.99576,411.54523,398.9986,401.47043,403.95969,406.46771,408.99438,411.5358,399.18298,401.42621,403.78696,406.33087,409.02969,411.67004
24,Arque,400.69821,400.94403,402.96744,404.95984,409.86502,411.10864,BOL-ADM3-33444609B98674568,399.37262,401.62149,403.89651,406.20438,408.54276,410.89697,399.35376,401.62534,403.91327,406.2193,408.54276,410.88031,399.64752,401.56003,403.65103,405.99429,408.55444,411.12766
25,Corocoro,399.82083,402.30295,405.0188,406.56137,410.42209,411.21774,BOL-ADM3-33444609B17270625,399.9859,402.33282,404.69156,407.06064,409.44122,411.82947,399.98972,402.33243,404.68848,407.05734,409.43948,411.8342,399.93384,402.33646,404.73517,407.10587,409.46976,411.76056
26,San Benito,398.3244,400.04089,402.9382,405.2796,408.2236,410.59961,BOL-ADM3-33444609B19104054,397.96228,400.44583,402.94873,405.47055,408.01089,410.56735,397.95868,400.44699,402.95181,405.47308,408.01071,410.56461,398.01505,400.42789,402.9053,405.43616,408.01401,410.60709
27,Sapahaqui,400.91425,402.59924,405.022,404.68063,409.64807,409.81458,BOL-ADM3-33444609B66518212,400.80096,402.6445,404.49768,406.36111,408.24112,410.12671,400.79791,402.64468,404.50037,406.36517,408.24054,410.12357,400.84607,402.64334,404.45969,406.2991,408.25668,410.16739
28,Cairoma,398.42618,401.54495,404.24384,407.09088,408.97391,409.7803,BOL-ADM3-33444609B10766550,399.15292,401.49207,403.83759,406.1825,408.52368,410.86777,399.16833,401.49054,403.82431,406.16797,408.52075,410.88461,398.93448,401.51254,404.02481,406.3923,408.56946,410.62335
29,Colquiri,399.41861,402.65134,403.77164,407.42572,409.45819,411.75458,BOL-ADM3-33444609B98493674,399.64313,402.06644,404.50192,406.9537,409.41782,411.89566,399.64429,402.06586,404.50153,406.95233,409.41742,411.89703,399.62598,402.07428,404.50385,406.97406,409.42621,411.87405
30,Ichoca,399.74228,403.00964,404.34839,408.28726,410.06979,412.23138,BOL-ADM3-33444609B35095185,400.04428,402.52258,405.01297,407.51761,410.03168,412.55789,400.04828,402.52203,405.0101,407.51352,410.0307,412.56241,399.98859,402.53067,405.0491,407.5802,410.04828,412.49002
31,La Guardia,398.68805,400.8399,403.20819,406.03741,409.14307,411.85492,BOL-ADM3-33444609B27516383,398.31842,400.94623,403.59521,406.26791,408.96378,411.67929,398.31253,400.94739,403.60043,406.27277,408.96417,411.6738,398.40408,400.92999,403.51807,406.20071,408.96164,411.75684
32,Moromoro,398.64563,400.65573,401.87473,405.0517,407.92914,409.0773,BOL-ADM3-33444609B65462728,398.38663,400.56061,402.74915,404.95581,407.17557,409.40433,398.38321,400.56177,402.75281,404.95737,407.17441,409.40259,398.43848,400.54227,402.69077,404.93652,407.2012,409.4231
33,El Torno,398.94943,401.49753,403.4111,405.5545,409.53604,412.28439,BOL-ADM3-33444609B3283622,398.61407,401.21896,403.84415,406.49619,409.17737,411.88016,398.60477,401.21973,403.8526,406.50531,409.17834,411.87012,398.74716,401.21112,403.72302,406.36325,409.16293,412.02374
34,Samaipata,399.51932,401.58994,402.98322,405.44983,408.89182,410.95663,BOL-ADM3-33444609B3665426,399.11087,401.39941,403.70514,406.03436,408.38599,410.75339,399.10211,401.40057,403.71323,406.0419,408.38638,410.74496,399.23819,401.38333,403.58542,405.92441,408.38461,410.87326
35,San Lucas,398.29236,401.07739,402.74765,405.90912,408.07138,409.66263,BOL-ADM3-33444609B75362770,398.52228,400.81683,403.12228,405.43884,407.76312,410.09641,398.52628,400.81644,403.1192,405.4346,407.76175,410.10147,398.46622,400.82123,403.16208,405.50131,407.7851,410.02383
36,Culpina,397.91974,401.56479,402.4357,405.83029,407.57535,409.62177,BOL-ADM3-33444609B89526883,398.45978,400.72757,403.00272,405.28848,407.58176,409.88525,398.46469,400.72623,402.99908,405.28421,407.58096,409.89014,398.38663,400.75052,403.0527,405.34781,407.59146,409.81625
37,Incahuasi,397.77753,401.34848,402.33636,405.88403,407.58475,408.86774,BOL-ADM3-33444609B77799107,398.41931,400.63071,402.84805,405.07169,407.29752,409.52872,398.42804,400.62936,402.84094,405.0636,407.29556,409.53827,398.29279,400.65268,402.94296,405.19107,407.32663,409.38989
38,San Juan,399.47958,402.76166,402.71439,405.24429,411.71603,409.31732,BOL-ADM3-33444609B36544235,399.61282,401.83105,404.06027,406.30859,408.57062,410.83017,399.61206,401.83145,404.06277,406.30801,408.56616,410.8331,399.6254,401.82492,404.01324,406.31714,408.65674,410.77609
39,Tinguipaya,397.34729,401.41452,402.61261,405.36029,407.06906,409.95633,BOL-ADM3-33444609B69045844,398.06174,400.40955,402.76413,405.1279,407.50266,409.89209,398.06683,400.40744,402.75989,405.125,407.50323,409.8956,397.98181,400.44754,402.82559,405.16733,407.4906,409.845
40,San Pedro,398.0578,400.50916,402.96652,405.63278,408.94809,410.42636,BOL-ADM3-33444609B29777572,398.03192,400.56729,403.1192,405.68735,408.26993,410.86444,398.03305,400.56769,403.11844,405.68561,408.26859,410.86679,398.0177,400.56079,403.12668,405.71365,408.29428,410.82721
41,Villa Ancoraimes,398.84143,403.26926,405.02524,407.23419,408.96161,412.21225,BOL-ADM3-33444609B4195370,399.78036,402.22827,404.68152,407.1412,409.61151,412.09802,399.78836,402.22519,404.67459,407.13654,409.61249,412.1037,399.65762,402.27948,404.78613,407.20197,409.59122,412.02454
42,"Colcha ""K""",398.95541,402.1441,403.96268,406.11154,409.10587,411.05273,BOL-ADM3-33444609B80268637,399.2757,401.63837,404.01172,406.39774,408.79767,411.21039,399.2778,401.63739,404.01038,406.39697,408.79745,411.21194,399.24561,401.65503,404.03195,406.40762,408.80215,411.18921
43,Puerto Mayor de Carabuco,398.56448,402.59665,404.28162,407.71591,409.38724,412.17093,BOL-ADM3-33444609B33602201,399.23972,401.84409,404.45853,407.08392,409.71915,412.36926,399.24713,401.84216,404.45255,407.07809,409.71875,412.37616,399.1297,401.87457,404.54666,407.16876,409.7215,412.27393
44,Sabaya,399.65643,402.07571,403.60767,406.20239,408.89322,410.88571,BOL-ADM3-33444609B55181457,399.5892,401.82224,404.06854,406.33145,408.60941,410.90012,399.58655,401.82245,404.07123,406.33359,408.60919,410.89755,399.62732,401.81918,404.02789,406.2995,408.61349,410.93323
45,Loreto,398.70633,401.24063,402.99542,405.68661,407.7868,410.10895,BOL-ADM3-33444609B74955412,398.77454,401.0162,403.26993,405.53726,407.81699,410.1095,398.77454,401.0162,403.27032,405.53726,407.81699,410.10928,398.77472,401.01929,403.26532,405.53766,407.81757,410.11008
46,Tomave,398.35669,401.79343,403.57248,406.70352,408.81384,410.29269,BOL-ADM3-33444609B79735413,398.93753,401.32132,403.71359,406.11298,408.51685,410.92871,398.94647,401.31998,403.7063,406.10483,408.51511,410.93811,398.81009,401.34143,403.81546,406.22995,408.54355,410.79059
47,Porco,398.4425,401.68201,403.12857,407.11215,408.1514,410.05814,BOL-ADM3-33444609B50648219,398.94855,401.2645,403.58887,405.92053,408.25397,410.59534,398.95731,401.26355,403.58176,405.9118,408.25241,410.60495,398.82455,401.27884,403.68607,406.04849,408.27792,410.45578
48,Villa Montes,397.414,401.64786,402.26532,405.45294,408.74152,409.41867,BOL-ADM3-33444609B43551685,398.1312,400.52985,402.93549,405.35226,407.7775,410.20944,398.13821,400.52814,402.93048,405.34647,407.77536,410.21686,398.03079,400.55792,403.00101,405.43402,407.81366,410.09836
49,Yocalla,397.26624,401.40555,403.06995,405.75293,407.629,409.30515,BOL-ADM3-33444609B55738046,398.24454,400.57092,402.90109,405.23322,407.56735,409.90891,398.25726,400.56845,402.89032,405.22296,407.56601,409.9212,398.06021,400.61313,403.05347,405.37796,407.58545,409.73596
50,Urmiri,396.94879,401.4614,403.14255,406.43002,407.73373,409.74875,BOL-ADM3-33444609B4133228,398.08829,400.54706,403.00925,405.47269,407.936,410.40762,398.10385,400.54398,402.99619,405.45975,407.93445,410.4227,397.86322,400.59479,403.19666,405.65698,407.95486,410.19437
51,Mocomoco,398.40009,401.74963,403.32922,406.66452,408.64752,411.94806,BOL-ADM3-33444609B8281684,398.59753,401.18549,403.78848,406.40976,409.04901,411.70773,398.59695,401.18491,403.78928,406.41092,409.04977,411.70618,398.60361,401.19791,403.77637,406.39404,409.03613,411.73013
52,Saipina,397.16089,400.2131,400.9252,403.52026,407.09711,410.23752,BOL-ADM3-33444609B21235771,396.91028,399.39166,401.89084,404.41916,406.97815,409.56015,396.89838,399.39206,401.90198,404.43112,406.9801,409.54669,397.07858,399.39166,401.73145,404.24487,406.95099,409.75296
53,Omereque,398.67438,400.96579,402.49454,404.51733,408.23309,411.26904,BOL-ADM3-33444609B25995685,398.2081,400.63663,403.08459,405.56049,408.06656,410.59494,398.19537,400.6376,403.09595,405.57266,408.06848,410.58124,398.38681,400.62573,402.92355,405.38336,408.04047,410.79138
54,Porongo,398.8049,402.62335,404.61163,406.10944,409.30713,411.41296,BOL-ADM3-33444609B55124296,399.45071,401.84909,404.25528,406.67068,409.09991,411.5423,399.45547,401.84695,404.25125,406.66837,409.09991,411.54562,399.37643,401.88492,404.31659,406.69608,409.09641,411.49734
55,Santa Cruz de la Sierra,398.13211,401.83102,403.8519,405.88062,408.02582,410.20813,BOL-ADM3-33444609B6878387,398.87589,401.17935,403.48883,405.80307,408.12433,410.45676,398.88425,401.17725,403.48169,405.79706,408.12415,410.46399,398.75171,401.2157,403.59467,405.8851,408.12589,410.35538
56,San Ignacio,399.16882,401.88455,403.836,405.4942,407.54407,409.85822,BOL-ADM3-33444609B3318455,399.49509,401.53897,403.59003,405.64828,407.71683,409.79633,399.49774,401.53802,403.58771,405.64731,407.71722,409.7977,399.45605,401.55811,403.62466,405.66144,407.70789,409.77759
57,San Javier,398.43094,402.13358,403.24911,406.54404,408.40985,412.14072,BOL-ADM3-33444609B8905284,398.70627,401.26181,403.83084,406.41965,409.02853,411.65887,398.70419,401.26086,403.83316,406.42273,409.02988,411.65494,398.73193,401.2821,403.79987,406.37314,409.00238,411.71658
58,San Pedro,398.56201,400.99219,403.37631,406.65768,410.48264,409.44312,BOL-ADM3-33444609B2142879,398.76996,401.21686,403.67664,406.14511,408.61447,411.08255,398.78003,401.21722,403.66855,406.1333,408.60959,411.09686,398.63269,401.2048,403.78195,406.31808,408.70041,410.86816
59,Cajuata,397.35535,402.60959,403.51199,409.86102,410.74384,410.12936,BOL-ADM3-33444609B87038976,398.91299,401.63071,404.3511,407.06781,409.76645,412.45935,398.94229,401.62762,404.327,407.03891,409.75958,412.49277,398.4989,401.67072,404.68152,407.49234,409.87332,411.97266
60,Inquisivi,398.22684,402.80841,404.1185,408.69595,410.71744,410.42816,BOL-ADM3-33444609B59519836,399.43719,401.99396,404.55457,407.11517,409.66681,412.21652,399.45871,401.99149,404.53702,407.0946,409.66193,412.24069,399.13293,402.02808,404.79712,407.41541,409.74768,411.86325
61,Irupana,396.33337,402.11911,403.62381,408.33612,407.87457,408.92142,BOL-ADM3-33444609B26067698,398.42615,400.88297,403.33377,405.7692,408.18292,410.59436,398.45978,400.87781,403.30493,405.7392,408.17865,410.62863,397.94159,400.96075,403.74133,406.20206,408.24191,410.10266
62,Chulumani,394.2218,400.95093,403.13123,407.86322,406.52435,408.27063,BOL-ADM3-33444609B18902401,396.88455,399.54709,402.20026,404.83072,407.43405,410.03656,396.92712,399.54025,402.16345,404.79364,407.42999,410.0788,396.27243,399.6521,402.7261,405.36096,407.48672,409.43674
63,PoopÃ³,399.17474,402.23508,404.60779,406.56589,409.7598,411.29181,BOL-ADM3-33444609B62162538,399.54102,401.95276,404.37521,406.80762,409.25153,411.70596,399.54596,401.95178,404.37115,406.80392,409.25055,411.71088,399.47165,401.96829,404.43246,406.85825,409.26752,411.63589
64,Totora,400.12778,402.42297,404.69003,408.09937,412.49167,411.36575,BOL-ADM3-33444609B19359116,400.13165,402.67426,405.233,407.8053,410.38318,412.96136,400.13834,402.6752,405.228,407.79636,410.37827,412.97241,400.04428,402.65295,405.29214,407.93854,410.47064,412.79028
65,Betanzos,398.26187,400.9527,401.20786,405.24084,407.41302,409.94727,BOL-ADM3-33444609B40503271,398.02679,400.32574,402.64008,404.97919,407.33713,409.71133,398.01941,400.32651,402.64755,404.98517,407.33752,409.7041,398.13501,400.31506,402.52759,404.89655,407.33539,409.81079
66,Turco,399.40536,402.418,403.92566,406.41904,409.83475,411.457,BOL-ADM3-33444609B16444652,399.53033,401.92917,404.34106,406.76978,409.21503,411.673,399.52957,401.92899,404.34244,406.77094,409.21445,411.67221,399.54196,401.93512,404.32043,406.75348,409.22733,411.68027
67,Todos Santos,397.67212,401.49146,402.52673,405.61755,408.1734,411.52234,BOL-ADM3-33444609B61346396,397.93552,400.53751,403.15359,405.79126,408.45123,411.13235,397.9325,400.53653,403.15686,405.79532,408.45239,411.12784,397.97327,400.55756,403.10959,405.7309,408.43039,411.19958
68,ConcepciÃ³n,398.88937,402.66791,403.58368,405.97864,408.76263,412.22299,BOL-ADM3-33444609B73204671,399.14645,401.60522,404.07626,406.5683,409.08432,411.62177,399.14151,401.60406,404.08105,406.57489,409.08624,411.6145,399.21136,401.62973,404.01074,406.46866,409.05173,411.73013
69,Santa Rosa,399.08615,401.91019,403.07629,405.64316,411.48724,409.39825,BOL-ADM3-33444609B19125904,399.19766,401.54126,403.89767,406.26947,408.65091,411.02982,399.2009,401.54184,403.89615,406.26462,408.64603,411.03708,399.155,401.53015,403.90848,406.3396,408.74054,410.91284
70,Huacaraje,398.68091,403.13071,402.40747,406.33646,408.28391,411.32993,BOL-ADM3-33444609B59987600,399.15292,401.48364,403.82315,406.18326,408.56204,410.95831,399.14969,401.4823,403.82721,406.18771,408.56302,410.9534,399.19385,401.51312,403.76288,406.11957,408.54355,411.03021
71,La Rivera,398.57574,402.16647,403.34274,406.21158,409.29126,411.0163,BOL-ADM3-33444609B98058544,398.94684,401.39099,403.84625,406.31693,408.80194,411.29941,398.94873,401.39005,403.84549,406.31598,408.80118,411.30118,398.91925,401.40802,403.85666,406.33087,408.81482,411.27295
72,Entre RÃ­os,398.19501,400.61215,403.29068,405.83487,407.91357,410.54681,BOL-ADM3-33444609B65603601,398.26239,400.69891,403.14957,405.61307,408.08911,410.57986,398.2645,400.69873,403.14783,405.61115,408.08893,410.58185,398.23428,400.70084,403.17648,405.64017,408.08911,410.55206
73,San JoaquÃ­n,398.69781,403.52682,403.56122,406.69778,407.96024,411.90918,BOL-ADM3-33444609B85871655,399.5191,401.85443,404.19495,406.54932,408.91949,411.3096,399.52042,401.85175,404.19437,406.55084,408.92166,411.30765,399.49222,401.90543,404.20441,406.51984,408.88031,411.34473
74,San RamÃ³n,398.9342,402.94788,402.76834,406.62857,407.76901,412.01126,BOL-ADM3-33444609B31629000,399.23038,401.58685,403.9541,406.34329,408.75302,411.18527,399.22488,401.58569,403.95969,406.34967,408.75537,411.17743,399.30139,401.61194,403.87631,406.24991,408.7117,411.30197
75,Tiahuanacu,400.61057,402.4707,405.13742,407.41986,410.22156,412.46402,BOL-ADM3-33444609B70300813,400.35858,402.74799,405.15417,407.57709,410.01642,412.47015,400.35611,402.74857,405.15613,407.57864,410.01624,412.4682,400.39523,402.73514,405.12366,407.55356,410.02014,412.49631
76,Colquechaca,397.91635,400.83884,403.66833,405.73944,407.73343,410.2919,BOL-ADM3-33444609B2169284,398.33154,400.73236,403.14343,405.56165,407.98892,410.42953,398.33798,400.7312,403.13766,405.55661,407.98892,410.43521,398.23828,400.75186,403.22916,405.63089,407.98795,410.3493
77,Pocoata,398.34851,401.03656,404.18134,406.1225,408.51782,410.47214,BOL-ADM3-33444609B28265316,398.71805,401.13077,403.55423,405.98401,408.42142,410.86954,398.72546,401.12964,403.5473,405.97745,408.42044,410.87717,398.60931,401.14453,403.65375,406.07581,408.43427,410.76022
78,Llica,398.56845,401.83652,403.2103,405.72638,408.38828,410.12411,BOL-ADM3-33444609B5007094,398.94742,401.21188,403.48517,405.76996,408.06616,410.37259,398.95026,401.21094,403.48325,405.76804,408.06558,410.37534,398.90558,401.22928,403.5119,405.7959,408.07568,410.33463
79,Quillacollo,399.73145,400.54175,402.02582,405.84824,407.73944,410.59216,BOL-ADM3-33444609B2586032,398.76254,400.99118,403.24203,405.52063,407.82047,410.13785,398.74963,400.99405,403.25378,405.52994,407.82104,410.12631,398.95294,400.94357,403.06998,405.39536,407.81561,410.29745
80,Sacaba,397.5491,399.92307,400.66513,404.96106,407.21738,410.54431,BOL-ADM3-33444609B27378021,397.0144,399.5654,402.13834,404.74231,407.37189,410.02383,397.00284,399.56711,402.14908,404.75137,407.37286,410.0127,397.17896,399.54251,401.97998,404.61478,407.35928,410.18069
81,Tiquipaya,398.92361,399.99838,400.41327,405.15829,407.16806,410.6416,BOL-ADM3-33444609B80439797,397.71585,400.07574,402.46176,404.88593,407.33926,409.81567,397.69592,400.07938,402.47998,404.90118,407.34082,409.79712,398.00574,400.02045,402.19376,404.67361,407.32257,410.0788
82,Colcapirhua,398.86151,401.32248,401.59326,405.31927,408.00998,410.93564,BOL-ADM3-33444609B86021401,398.37543,400.73007,403.10342,405.50693,407.93619,410.38571,398.36267,400.73141,403.11554,405.51773,407.93738,410.3728,398.55801,400.71228,402.92722,405.35147,407.92181,410.56714
83,Sipesipe,400.04028,401.22836,402.98697,406.08963,409.5152,410.92264,BOL-ADM3-33444609B57513939,399.28522,401.5943,403.92426,406.27936,408.6546,411.04239,399.27588,401.59662,403.93292,406.28555,408.65363,411.03531,399.42386,401.55353,403.79407,406.1951,408.67603,411.13763
84,Vinto,400.19684,400.96671,402.33862,406.2276,408.16284,410.71545,BOL-ADM3-33444609B63544582,399.23325,401.41663,403.62158,405.85376,408.10565,410.37338,399.22067,401.41949,403.63293,405.86227,408.10587,410.36282,399.41718,401.36765,403.45343,405.73825,408.10703,410.52075
85,Tarata,397.60919,401.06589,403.42114,405.02237,410.56195,411.39209,BOL-ADM3-33444609B91378627,397.80594,400.59595,403.40341,406.23132,409.08273,411.94849,397.80594,400.59537,403.40378,406.23227,409.08139,411.9491,397.80499,400.60587,403.39456,406.21329,409.10968,411.93927
86,Totora,397.27316,401.68185,401.57697,404.03815,407.79108,408.74734,BOL-ADM3-33444609B10790515,397.95068,400.16467,402.38403,404.61728,406.86484,409.12097,397.95239,400.16293,402.38385,404.61746,406.86386,409.12195,397.92206,400.19958,402.38519,404.6105,406.88016,409.10498
87,Buena Vista,397.72537,402.69522,403.98196,404.51263,409.39407,410.22745,BOL-ADM3-33444609B62366677,398.82532,401.18893,403.55521,405.92828,408.31647,410.71381,398.83273,401.18549,403.54944,405.92557,408.31589,410.7189,398.71387,401.24918,403.64044,405.95691,408.32562,410.64175
88,San Carlos,398.39822,403.23248,403.94223,404.05655,410.76132,410.55597,BOL-ADM3-33444609B65201053,399.21326,401.57553,403.94351,406.32547,408.73001,411.14294,399.21439,401.57306,403.94351,406.32819,408.72903,411.14255,399.19232,401.62399,403.94141,406.27335,408.75089,411.14862
89,Magdalena,399.61276,403.04733,402.76007,407.10544,407.81882,410.88394,BOL-ADM3-33444609B24515942,399.86749,401.9863,404.11383,406.25803,408.41364,410.5838,399.86578,401.98572,404.11633,406.2598,408.4144,410.58124,399.89191,401.99973,404.07355,406.23636,408.40155,410.62039
90,Portachuelo,397.97885,403.06262,404.95547,406.04364,409.82785,410.54333,BOL-ADM3-33444609B38843317,399.37949,401.78699,404.19476,406.60126,409.01251,411.42926,399.39529,401.78296,404.18146,406.59021,409.01077,411.44357,399.14835,401.85385,404.38773,406.75116,409.03711,411.22647
91,San Antonio de Esmoruco,398.20853,400.63275,403.24683,405.55194,408.09326,410.45459,BOL-ADM3-33444609B37744367,398.25043,400.67734,403.11862,405.57343,408.04242,410.52545,398.25159,400.67734,403.11765,405.57248,408.04224,410.52664,398.23526,400.67886,403.13324,405.5864,408.04495,410.5094
