asdf_id,shapeName,shapeID,year,co,tr6_co,tr100_co,tr400_co
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2019,407.85489,408.28433,408.28552,408.28531
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2020,410.36188,410.4863,410.63235,410.64273
11,Paẕa,BOL-ADM3-33444609B81698958,2015,398.97421,399.48193,399.6178,399.62732
11,Paẕa,BOL-ADM3-33444609B81698958,2016,402.51083,402.10342,402.07794,402.0762
11,Paẕa,BOL-ADM3-33444609B81698958,2017,404.81644,404.65973,404.54648,404.53857
11,Paẕa,BOL-ADM3-33444609B81698958,2018,407.13623,407.13245,407.02142,407.01367
11,Paẕa,BOL-ADM3-33444609B81698958,2019,409.99063,409.5285,409.50351,409.50177
11,Paẕa,BOL-ADM3-33444609B81698958,2020,411.33441,411.85501,411.99387,412.00351
12,Villa Rivero,BOL-ADM3-33444609B39428862,2015,398.74548,398.56674,398.50839,398.50424
12,Villa Rivero,BOL-ADM3-33444609B39428862,2016,400.55893,400.95923,400.96115,400.96152
12,Villa Rivero,BOL-ADM3-33444609B39428862,2017,404.3255,403.39514,403.43149,403.43439
12,Villa Rivero,BOL-ADM3-33444609B39428862,2018,404.75528,405.83905,405.91763,405.92267
12,Villa Rivero,BOL-ADM3-33444609B39428862,2019,408.48355,408.40564,408.42728,408.42844
12,Villa Rivero,BOL-ADM3-33444609B39428862,2020,411.33661,411.0365,410.95615,410.95065
13,Andamarca,BOL-ADM3-33444609B55151365,2015,400.30893,400.02176,399.98343,399.98096
13,Andamarca,BOL-ADM3-33444609B55151365,2016,401.77783,402.14523,402.16461,402.16574
13,Andamarca,BOL-ADM3-33444609B55151365,2017,404.38974,404.32623,404.36093,404.36307
13,Andamarca,BOL-ADM3-33444609B55151365,2018,405.95758,406.55298,406.57178,406.57315
13,Andamarca,BOL-ADM3-33444609B55151365,2019,409.8587,408.82358,408.79727,408.79611
