asdf_id,viirs_ntl_annual_v20_avg_masked.2019.sum,viirs_ntl_annual_v20_avg_masked.2014.sum,viirs_ntl_annual_v20_avg_masked.2012.sum,viirs_ntl_annual_v20_avg_masked.2016.sum,viirs_ntl_annual_v20_avg_masked.2015.sum,viirs_ntl_annual_v20_avg_masked.2013.sum,viirs_ntl_annual_v20_avg_masked.2017.sum,viirs_ntl_annual_v20_avg_masked.2020.sum,viirs_ntl_annual_v20_avg_masked.2018.sum,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,39.2158889771,1.773889422416687,3.1850645542144775,17.866594314575195,4.047488212585449,5.134267330169678,34.3580055237,38.637351989746094,38.4243850708,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,46.2766265869,20.31747817993164,17.496076583862305,18.629207611083984,22.243854522705078,21.289567947387695,45.4652481079,58.41024398803711,46.2301864624,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,12.8732366562,11.519571304321289,10.278369903564453,6.416913986206055,5.84263801574707,12.13556957244873,19.5988616943,26.99120330810547,18.7190704346,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,1397.35510254,825.3580932617188,652.833984375,1112.2481689453125,858.369384765625,746.3242797851562,1196.71350098,1290.5208740234375,1304.11157227,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,33.1911659241,12.445464134216309,11.242740631103516,9.844965934753418,14.7135009765625,17.233291625976562,24.8384075165,46.89235305786133,29.6704616547,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,525.629638672,307.5560302734375,320.7195739746094,416.95648193359375,353.1154479980469,330.4244689941406,503.605621338,569.8402709960938,543.701904297,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,75.844833374,34.52216339111328,27.68954849243164,40.14476776123047,35.484031677246094,36.43451690673828,58.8878669739,85.72061920166016,77.4872436523,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,21.2751560211,5.177781105041504,4.447775840759277,3.593858480453491,4.708926677703857,4.559866428375244,14.9670600891,27.534053802490234,15.7047538757,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,817.873413086,546.3309936523438,434.3235168457031,596.0746459960938,538.1737670898438,528.19189453125,704.930236816,853.3568725585938,761.953491211,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,37.1103019714,21.772090911865234,24.26772117614746,29.563989639282227,20.50360679626465,24.08892059326172,39.514087677,38.83644104003906,40.2466392517,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,152.300476074,101.15896606445312,61.29078674316406,144.153564453125,135.7329864501953,75.40400695800781,193.807006836,174.43064880371094,182.54498291,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,67.4970169067,44.30027770996094,43.75637435913086,38.965736389160156,47.03004837036133,48.97775650024414,58.1586151123,75.68199157714844,58.8941993713,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,165.063293457,81.9129867553711,75.32757568359375,126.14540100097656,102.19837951660156,82.33297729492188,163.737640381,177.12771606445312,157.602020264,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,38.0831604004,16.054853439331055,13.855268478393555,28.69513511657715,22.940959930419922,15.776622772216797,41.7435264587,62.78795623779297,43.2368850708,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,20.6799888611,9.286788940429688,3.9925005435943604,10.416546821594238,14.533226013183594,10.382877349853516,22.5154571533,26.214794158935547,20.545665741,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,816.128234863,348.92938232421875,272.156494140625,553.8282470703125,493.6933288574219,325.87664794921875,666.880737305,1060.6116943359375,660.034362793,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,15.2928705215,10.787976264953613,3.686506748199463,10.540382385253906,12.560176849365234,7.06254243850708,16.9334545135,7.776403427124023,16.3664512634,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,103.724586487,34.15711975097656,21.615814208984375,33.485721588134766,38.926368713378906,24.51025390625,114.832420349,118.69305419921875,115.635475159,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,22458.6738281,14688.18359375,10174.353515625,20910.83203125,16943.4921875,11893.478515625,23291.4003906,21705.97265625,22807.4101562,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,49.3766479492,36.277652740478516,16.778797149658203,38.21443557739258,40.94314193725586,26.029619216918945,57.1769485474,56.14983367919922,56.9680366516,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,18.3308906555,10.967366218566895,7.507875442504883,14.20230770111084,18.726503372192383,10.929779052734375,28.6854400635,21.143451690673828,26.9086608887,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,30.6620063782,14.18814468383789,13.809839248657227,14.394063949584961,18.04754066467285,15.726957321166992,30.1573638916,31.414234161376953,29.8318901062,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,912.808288574,810.0148315429688,682.4830932617188,801.455078125,821.2529296875,735.7755126953125,967.991333008,842.8209838867188,941.180053711,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,434.687683105,322.9529724121094,317.3524169921875,342.9830017089844,345.4417724609375,336.9388427734375,406.287567139,416.5617980957031,401.972564697,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,129.599655151,68.18721771240234,48.46227264404297,72.77301025390625,92.96176147460938,65.85188293457031,128.632492065,115.61235046386719,155.666915894,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,317.826873779,126.64643096923828,118.2604751586914,171.60324096679688,155.9871826171875,145.22735595703125,288.474151611,321.61553955078125,321.233306885,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,985.280944824,471.2096862792969,412.0102844238281,637.8863525390625,557.8251953125,450.1168212890625,743.86517334,1418.6497802734375,788.516906738,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,14.4855089188,6.0542144775390625,5.6583476066589355,11.2589111328125,9.350325584411621,10.511419296264648,20.30219841,10.031834602355957,18.5201416016,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,37.1374359131,10.435623168945312,7.830812454223633,14.316707611083984,10.43880558013916,13.603978157043457,32.5688247681,42.76227569580078,32.8904533386,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,179.129562378,146.737060546875,142.5414581298828,149.92581176757812,137.40475463867188,149.2377166748047,205.180831909,190.85401916503906,180.042358398,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,10.9142122269,8.66356372833252,8.308321952819824,6.888190269470215,8.179697036743164,10.896437644958496,14.0208482742,8.707847595214844,20.9854488373,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,4772.87402344,2560.52099609375,2098.215087890625,3909.919921875,3569.9736328125,2529.100830078125,4392.01269531,4931.78076171875,4823.31933594,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,10.6854639053,12.102934837341309,10.750187873840332,8.184959411621094,10.684879302978516,12.542994499206543,16.5483036041,13.80158805847168,12.4032154083,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,757.412475586,623.5037231445312,551.7857666015625,677.7981567382812,704.4967041015625,633.8984375,786.581054688,839.8010864257812,786.197387695,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
34,332.427154541,262.7900390625,267.23126220703125,287.46649169921875,246.76742553710938,322.1723937988281,353.667175293,371.44940185546875,379.083740234,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
