asdf_id,pop_sum,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
0,3505.212179528023,-0.07614822869622127,-0.03767268274417813,-0.035198761424597116,0.022629496060095868,-0.14674820836415636,0.09561520090195473,-0.006022323000615304,-0.060864193218882014,-0.10501034269928708,0.0093025336189226,0.26417554260542686,-0.09419315957609269,-0.1612345757245741,-0.021514779903856373,0.04583254061299336,-0.016614995655316225,-0.14106776049461844,-0.14866895188279483,0.19402258986289925,-0.17163191426292276,0.12650630317533565,-0.007859672265501544,-0.13451327304454028,-0.10850266169570386,-0.19481433694322448,-0.11160732689441183,0.02043185866129868,0.10232056550465421,0.012623897298121517,-0.06777242993565927,-0.01449271879680702,0.07453590399549458,-0.11332521936928354,-0.09381693323987503,-0.041820785630129656,-0.21423411223536654,0.1343770524838095,-0.05683306444070567,-0.24881580589451435,-0.05244770352126042,0.018764894261889202,0.12233431044324529,0.029141125297604084,-0.06672922523967109,0.049712093990563234,-0.0724002921998457,-0.05485709996396119,5.206542898073441E-4,0.013216561260957388,-0.08401982830752502,0.08946594508714241,0.10630846249720037,-0.006485120385478958,0.05043209141397363,0.2419734346806362,-0.044084164278124005,-0.06184031852101121,-0.09535576614872597,-0.11508858796343861,0.02747100714990726,0.10553088006215548,0.052631018335387345,-0.2566770203188328,-0.2225830126615666
1,3893.1618289662274,-0.0965167529107134,0.020463500251290654,-0.05114560687111114,-0.001572338001611845,-0.1715722453710476,0.13297057800375084,0.052117535405130956,-0.06684409048084206,-0.07494859710755722,-0.021780679364145777,0.21128334038954522,-0.1659137758737581,-0.16895933692974102,-0.04522296480181245,0.06838422195141589,-0.0701024194622275,-0.19515651952677843,-0.139342814662363,0.1522885451952751,-0.17298234675193716,0.15122505534076197,-0.04070963305046661,-0.11133903090095926,-0.1385740520581425,-0.2019745010300732,-0.09479806819353838,0.08430329969507051,0.09477887780172278,0.029875317250568315,-0.09113752854364675,0.00482157077614222,0.08925714446515963,-0.09761307142989632,-0.11517871458828068,-0.027595899068798918,-0.22222905671026982,0.12728561314262563,-0.09824166694293876,-0.22083563335939163,-0.06607670808389206,0.013238296427024697,0.1092953651600349,-0.0024015169704493778,-0.03762616408224894,0.06660594462447994,-0.05211485028193378,-0.03419539097980555,-0.024102155201298433,0.03057322600428243,-0.11600158129898877,0.09648994997542289,0.08399072417564596,-0.008283984928683945,0.07038092882326503,0.20977933101105295,-0.036824963671686056,-0.1104064640986203,-0.09015108331394875,-0.10851832927549977,0.04069326758902066,0.11329751817683925,0.0913399641352163,-0.24757624464975211,-0.25133705014912006
2,2533.6665137438176,-0.10265333701873772,0.02278760836147097,-0.035456720549637014,0.017151989769707856,-0.13826399872858391,0.13334488505409198,0.04849273652859832,-0.04742827871660566,-0.10152686541998308,-0.009652829934992684,0.19304717056684384,-0.15893945135205137,-0.18949906439528036,-0.04169846120057009,0.0631103882823396,-0.06299907740995414,-0.2089461709362755,-0.16497339626905047,0.17900987832044774,-0.18487591984335022,0.1623780626983967,-0.04899502856233169,-0.12242113492811903,-0.1452901571349019,-0.1981404729460691,-0.08125998515706916,0.10993852396309185,0.09723979384952795,0.005628715946682733,-0.10619566558710426,-0.03010697290080749,0.09469732323517106,-0.10191406988294599,-0.10568828605844117,-0.03858802511048236,-0.23204566544220748,0.1345037037025426,-0.09214594468122776,-0.22716548319178687,-0.07471345607857391,0.05200328635128114,0.10866946236580644,0.02273873578108217,-0.049138801428613474,0.052263677015262654,-0.045400922406702404,-0.0349694359247388,-0.06545480480140306,0.021731854648598836,-0.11817293967149309,0.10650826349938222,0.09350452052839953,-0.015279646226281541,0.07108040963714278,0.19990956429534673,-0.051715695626861465,-0.09501232781659516,-0.07794727861627844,-0.10658700542782587,0.04347081766169691,0.11396146627433447,0.1003756595987489,-0.22122600805273002,-0.23818062105962873
3,37579.64864302599,-0.13745215512997783,-0.03404051502126504,-0.11727080854230307,-0.05164703744771456,-0.1737108066930018,0.10489971714926731,0.04551123714869061,-0.08045450457504619,-0.06773901045754856,-0.07755521150692242,0.19311637653113828,-0.16142605520822342,-0.05428662550567739,-0.06781172389930318,0.04887984817877517,-0.09030749463385018,-0.12848828604988755,-0.02709184616183768,0.05906034870524192,-0.12572687153645834,0.14285834878770232,-0.04724862921240954,-0.12119973524599655,-0.08734980982692417,-0.13204712319887285,-0.08735692644800416,0.029366630833225597,0.11822609934999018,0.06379758483695976,-0.0661098935872907,0.07350620530696485,0.09088700048684671,-0.09185859143357435,-0.06126953421446445,-0.06664344731363236,-0.20101091537291027,0.07326899261766569,-0.1731024418629324,-0.2102798572186362,0.03510263685828591,-0.07746226497126472,0.04124413713976197,-0.12770868690852924,-0.044063986795662154,0.09994132831747722,-0.05049560310092161,0.020257893631657895,0.07487513467646466,-0.01654776449401335,-0.08786561479902241,0.04574832691374954,0.053020401207605525,0.012674391978362204,0.16955059923564467,0.21484451766443108,-0.02963036435625663,-0.11046711681993142,-0.14362135225388367,-0.12274605185290166,-0.03956772440495956,0.07486053483652112,0.06833369571266756,-0.2309100096948986,-0.2907138781984437
4,7878.036867902227,-0.12647182873048318,-0.06412951419450846,-0.1108955968386633,-0.055922071775973456,-0.18272918278408787,0.13246086349828481,0.04125358080563432,-0.09930731816790396,-0.007791431829445616,-0.07612117638523627,0.20427433577860912,-0.1651275390992168,-0.05037968869731049,-0.0717781526729542,0.043501391748042156,-0.07156635896773872,-0.17716257318220596,-0.03294082530631539,0.022360994752263625,-0.15522872192186915,0.12028581603402337,-0.010500219537549966,-0.12785885868873728,-0.06891943676231424,-0.1298350322949964,-0.11186003681274076,0.053998772344242205,0.11468478179538129,0.0689669075667235,-0.06437232332372068,0.07135085430499913,0.09685996991179883,-0.10601950185106532,-0.03122953572956435,-0.11881328687239198,-0.20000540212997317,0.08183909887920261,-0.1521383860088232,-0.16700108236680292,0.029901511983882263,-0.08348566859855029,0.07180112222179132,-0.10847750268733489,-0.08066690164595956,0.09771537687225162,-0.047789566715753094,0.0069587985533766505,0.06051647403078762,-0.020718901192337505,-0.08929022109540857,0.04566627623527169,0.025027337635747854,0.039176718770211366,0.1519999540568093,0.19416141180131014,-0.02695246987024531,-0.12084912325016914,-0.15452969820921691,-0.1483007561587884,0.006557116639291146,0.09312091298731544,0.09805480755963698,-0.2218847258290268,-0.2933146497649973
5,19466.75718389543,0.0025505356062034586,0.013911936460026598,-0.1783057014843127,-0.12718746864924227,-0.0010120293794011958,0.029418327389090462,0.030371621218852323,0.1278480679932665,-0.04619973175235938,-0.10745686355788152,0.02849228619391954,-0.18501432269462884,-0.0450019087782221,-0.08593841223340169,0.05055631180566779,-0.09976008232344898,-0.11654958680290528,0.0455225353175634,-0.037122175689143506,-0.060269412429654216,0.10818427684656155,-0.002834734474731071,-0.17465735709120464,0.03584645320224491,-0.08211995762236508,-0.043367154573223626,0.09488374772061593,0.2319243415286078,0.05510946033473606,-0.09986184763661304,-0.029444053679162894,-0.03111709936082131,0.029764994025524752,-0.08137789597925184,-0.08744580873560179,-0.14083462208536449,0.057091338470066526,-0.1525086673562105,-0.11258574259526934,0.15368981191841494,-0.13015780094297055,0.03713228787700492,-0.14630128318653468,0.05873313891347161,0.10168509703635795,-0.1271392140598952,-0.06198990092572934,0.08079676534105584,-0.0809872470200988,-0.13842680969368923,0.024582144135725806,0.0344449578314198,0.00649588530366995,0.26325323454367877,0.014415067404651594,-0.0022031971992776747,0.049855407010755394,-0.15173735258999013,-0.08684314830536133,-0.03581770048541017,0.047180368653512154,-0.027183075607178492,-0.07065039865898819,-0.3502697408339332
6,17346.151745352003,-0.14796967154082682,-0.015429316232152561,-0.11375079053387388,-0.09724807857341491,-0.20391255464140562,0.11202198952424683,0.05221927969669732,-0.056780512254867056,-0.03677098294217185,-0.09299219425338778,0.1435285255620986,-0.19131447038960914,-0.04407196363937431,-0.05421369089227949,0.04993627918767292,-0.07223796223544508,-0.17998846067726565,-0.0040629995963501085,0.006944738865505155,-0.1325923258423768,0.13931069126408402,-0.06153586999082035,-0.127815655203318,-0.06205202190578844,-0.11175695116086119,-0.10778946872944652,0.05066341215404989,0.13212469418410983,0.06071882804543489,-0.07711185446724753,0.0818767194236965,0.0732923306563777,-0.08034592011069953,-0.02168812590225386,-0.09479411935409289,-0.18994757572850338,0.09024195039173556,-0.17069393278384,-0.18099266136972755,0.04821028783317224,-0.08922313113206612,0.06174755499842194,-0.13944634227231442,-0.0623400882134314,0.0772141980498554,-0.040261075699303775,0.011360008873628272,0.08899495500782587,-0.04448114144366684,-0.09943684265458441,0.03527378585754172,0.042296634647462035,0.058044944510800375,0.18001599790670897,0.20292639027060516,-0.01626361675373732,-0.08579045729107997,-0.13438076539392513,-0.127096466207114,0.010515249714284889,0.05046122948765561,0.06418548089802563,-0.18099814095507363,-0.32466324333693114
7,5555.642274356544,-0.10434045028623316,-0.050035017343721885,-0.1468728373346292,-0.07386057183934941,-0.11183855628535473,0.06265952997782978,0.07511537990968017,-0.013547649679260566,-0.07078408542179114,-0.11473167701532708,0.113372137130374,-0.202576967399963,-0.041144509356673235,-0.05678169025497166,0.07361423054169956,-0.1037564297148364,-0.15198308196574745,0.03431305776576246,-0.04368308487634563,-0.10414723706717982,0.09852699761880905,-0.04451836678320671,-0.1748775010901698,-0.02010993480569713,-0.06505938933018791,-0.058059588737262954,0.08905895350432089,0.15693669910680752,0.05689424508588836,-0.0900160310427169,0.07014726627758339,0.05148822708197887,-0.027797291661057492,-0.008419474754340916,-0.13157584972081565,-0.17885632367716736,0.07413840967541334,-0.16298393904369532,-0.17001735646083105,0.1089098946213261,-0.09888390541141992,0.03950677936762791,-0.16084206475531349,-0.07488551443746513,0.09625527249002569,-0.058864471753640235,0.012685790184849437,0.1136676294326855,-0.06332263898259177,-0.09624560687227665,0.023776310068388137,0.026377639874702184,0.040756881730470935,0.23404584016068045,0.1748486412993285,-0.009500662078020803,-0.04411215891560729,-0.15893843077674713,-0.12325516361443316,0.006442109018733647,0.059672341327345765,0.030747292149582488,-0.12463539136087048,-0.3492505668242438
8,23433.3942246216,-0.151062136182334,-0.0702761765301244,-0.1272126090586344,-0.06352246107659083,-0.19375508589666254,0.12394514695442868,0.038975852699103225,-0.09617160516455485,-0.01483035042451413,-0.03582633588935817,0.20710948106121022,-0.16863861733444244,-0.027686671060677334,-0.06532720179948553,0.020507966449089955,-0.0695525524054383,-0.17227107710240405,-0.00787437151166305,0.05592006322170183,-0.16800857507971537,0.11697625941793893,0.004558644559399497,-0.124691721670528,-0.09343114603360374,-0.13860457600417253,-0.09968221130798743,0.019643447152452632,0.13347576774506506,0.0794486075642726,-0.06460620743990236,0.047557916095086056,0.10893381134438782,-0.1450227924805901,-0.03370299086465437,-0.09108322311227944,-0.22239475490563224,0.07948396820863746,-0.1678137647456087,-0.1815819659515058,0.046744390125196364,-0.04420766475489977,0.060248116611577564,-0.08728164494706528,-0.0628716433856903,0.10157489782210109,-0.05631001663060486,0.001032162258583619,0.07056991941398681,-0.018144544156861453,-0.09772039923661965,0.06429508558682183,0.037950611708610305,0.06820236423605844,0.14294303594012533,0.1837040044432406,-0.03752649278044579,-0.10819121740697595,-0.13687858417133564,-0.13848102263387563,-0.036814206630240924,0.08168166705558005,0.10689143327361568,-0.2334787647764993,-0.27209398871568363
9,586.9624062601547,-0.1336849981671998,-9.525574175953434E-4,-0.09652400708806715,-0.01618458826454655,-0.18217480242001588,0.11177764962299051,-0.02490663842018634,-0.05090940562773477,-0.12410215301891178,-0.07009150525967323,0.2312976707161764,-0.04974633628557483,-0.11255095562351224,-0.035684978537881315,0.07485981986936882,0.004628621217956368,-0.10973224418695086,-0.07215837530376422,0.17912519724532555,-0.07030900372212293,0.1457336319803115,-0.052229942064169886,-0.0959979910667693,-0.06502017997656301,-0.15303203963392112,-0.10608636219169051,-0.030584501651660476,0.09682963101170916,0.03135723175526702,-0.06496730808433113,0.019960109248319324,0.10462705514496277,-0.136104250397162,-0.12065497053851658,-0.03001698688367162,-0.16872343999143247,0.11424111550703232,-0.15950196935671224,-0.2928130476311793,0.008873201987753734,-0.04261481618134162,0.05563025352081021,-0.025195438964090922,-0.028254741831382758,0.12189977293357859,-0.043610582271067906,0.03899011288952409,0.03622376757420828,-0.029772102594568053,-0.0748945732973568,0.06576371620070766,0.05317945912886181,0.02142084076996047,0.09509348448378521,0.249763423062158,-0.04176712032069769,-0.06613037940131361,-0.1372454240911613,-0.12830906736136302,-0.07305368712841723,0.0685554542964375,0.045264715262855186,-0.2596780868232573,-0.2997150201523857
