asdf_id,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
0,-0.06043317124713281,-0.05229512475900739,-0.0093203487241083,0.05205737026421963,-0.12830368898797698,0.09042113073035214,-0.001657483404145241,-0.058988746739045035,-0.1067333368769022,0.04105534154737726,0.27658943327321345,-0.08220306355781337,-0.1803929237644877,-0.01895969711454791,0.04480174587718133,-0.018403303092199706,-0.13847581439732579,-0.18754512237590745,0.2114502310862341,-0.17500463066514274,0.1327792438366454,-0.015166550793004765,-0.14083432934947576,-0.13381264877641244,-0.201878421551716,-0.11056304140522503,0.06363627070483145,0.08316091928227948,-0.013454458526394026,-0.05879913002934667,-0.021200808983181704,0.07932582132782398,-0.10244404148816853,-0.10804863500083525,-0.04737776249762855,-0.22283188585902533,0.13532607880060663,-0.037593933199112306,-0.22701395393286045,-0.06830919324044099,0.02773922735480125,0.13613393570707527,0.05082129743119922,-0.09392025774854891,0.028113711170186708,-0.06630121397696256,-0.06733373316038826,-0.01977994663161644,0.028493598750379278,-0.08995954725977344,0.10049433112579155,0.13251790320864223,-0.02513507224017558,0.04250550011249333,0.24814826836765613,-0.0458805902733868,-0.055635540394872736,-0.09210980414553491,-0.0945125189651399,0.04913833031530897,0.11362435295133991,0.06997881109127392,-0.2639886145886817,-0.21094620018807383
1,-0.10413966910464968,0.013026567170758367,-0.06379715668965563,-0.013891528640544897,-0.18165781311285722,0.13504271446541677,0.049367441083551615,-0.07115914874185925,-0.05826165577378196,-0.026438028533059866,0.21035909455377386,-0.16356684361961055,-0.14858949100210478,-0.04600371127825509,0.06514166601870625,-0.0639550306953806,-0.19759358838473026,-0.12029625516500346,0.1347977156888854,-0.17552886568432133,0.14315909866930485,-0.038577577010866226,-0.10508587598917804,-0.1317544015657915,-0.19406474527712284,-0.09606381412847477,0.07210208951111458,0.09877820229737193,0.03865938399454762,-0.08472192806471447,0.013397299779757949,0.09555617944175547,-0.10164976849483154,-0.10565392999998444,-0.03501929588066307,-0.21930250928242315,0.1208002629435164,-0.10425474214748948,-0.21295063364469233,-0.053818113085719585,0.00633742003082835,0.10304763480748476,-0.009663306392912567,-0.041025675672164634,0.07304768086194928,-0.05169659273707356,-0.029220970955919558,-0.008602693001082608,0.02705390047485143,-0.11337345540573746,0.0896894653186794,0.07587925854982157,0.005979260566779761,0.07717709913050053,0.2056572969933005,-0.03726352549162756,-0.11021178029089183,-0.09941637650939383,-0.10621163563778488,0.03379139657300078,0.10721183612920025,0.09420749914151419,-0.24433351936311062,-0.2537146927706347
2,-0.10706287502719579,0.021826087791640632,-0.0369494278441362,0.017480319094124806,-0.1325274673216551,0.13487279727456794,0.0484624053028166,-0.04004632386392108,-0.0955626866714709,-0.012977305261276112,0.18729374056213366,-0.15505959948187392,-0.18870321131607898,-0.04256405781680179,0.0640206456200907,-0.06371877776225418,-0.2154127780726639,-0.16128318436299768,0.17718859527819483,-0.18373565784441645,0.15975192752517678,-0.045051260809665504,-0.1247576127288268,-0.14264831397049288,-0.1926295675417107,-0.08065363283051712,0.11526563545179593,0.09787492817550326,0.007497765438170403,-0.10896399854788735,-0.03590906174825997,0.09795451455170394,-0.10342780849586028,-0.10264638536576723,-0.03951005832153492,-0.23056421585449638,0.13549602291384863,-0.09502212608245329,-0.2138033300133592,-0.0750964899899263,0.050701768266305194,0.10852581642378674,0.03298378853674641,-0.05133772295184369,0.057493820972640566,-0.05223487753901474,-0.035635497496642445,-0.07313593188509321,0.016605663682306256,-0.12259823619933741,0.11281437748036603,0.08845885418705143,-0.014678220059298589,0.07150756434348234,0.19461552816549335,-0.05478592348791898,-0.09514671243218326,-0.08351961404846958,-0.10502283190231299,0.04666886751373578,0.11648719208342193,0.11007346530727612,-0.21310736954181503,-0.2384944494917172
3,-0.13048169329991777,-0.04462132071107638,-0.11421721221837995,-0.05009854004565515,-0.17791926765568583,0.11708436192339185,0.04624830833134003,-0.08132065082899095,-0.023262442182288942,-0.08704415016643538,0.20004877166821122,-0.16793923659789226,-0.05387320195931285,-0.06970233542005012,0.05542907608066265,-0.07686830615857801,-0.1638283597766039,-0.0214368783917537,0.028934138161913175,-0.14915350174998013,0.12672586485131995,-0.025857518239393477,-0.12473400813562173,-0.06977291063704162,-0.13004577646794335,-0.10546591036757073,0.05346618192835798,0.12111290841364536,0.06979909143268283,-0.062007039203423396,0.07456035958825472,0.09295582635007174,-0.08775153436871803,-0.035404245567662966,-0.10140672340032622,-0.19343470809459568,0.0826646877818926,-0.15377535445081866,-0.17686469648025763,0.033490027469099064,-0.07804557909135273,0.0614987020067797,-0.11250686747101832,-0.06801185293426591,0.09968322582958104,-0.05845731580780999,0.014128551964621561,0.05850559040411761,-0.019970310120715366,-0.08605079708718244,0.044936620714415454,0.03523132093943969,0.025191182224542127,0.15760695411003395,0.19757743923041543,-0.022868041441208214,-0.12143823984430188,-0.15099728588467942,-0.12682348188003076,-0.0030137656632596454,0.07952713894293847,0.09342727291116117,-0.2123371554821927,-0.2893659403637735
4,-0.1232976728060346,-0.058626262189962794,-0.10830823094650285,-0.05384048450982906,-0.17887829134277117,0.13601357806734304,0.04235634292865625,-0.10191124579228064,-0.0031542972049992696,-0.0749634273869397,0.20164693408234186,-0.16430216190562286,-0.05126614050024397,-0.07326541443974435,0.0420614570995568,-0.06946524662650136,-0.17958503329343622,-0.03665412341239648,0.02514986649439085,-0.15976599517417525,0.12098364785895736,-0.007119780411860514,-0.12276889352740518,-0.06858284493363954,-0.13221707337454405,-0.10888001856904975,0.05567629695464879,0.10947453584076156,0.06619680514380691,-0.06338139181584468,0.06828750538863275,0.09745889055297129,-0.10202402300531736,-0.031121202637462757,-0.11940804395850028,-0.1990122706470976,0.0778239836206872,-0.1500298955374044,-0.16602382019959536,0.02308832546098512,-0.0765450457157986,0.0699711132851964,-0.10804461494090163,-0.08012997218811384,0.09562779625551804,-0.047170440427997506,0.008915155372808977,0.05318075743646598,-0.018516286041982175,-0.08907280991894972,0.045728927186047895,0.023714184074281882,0.03598616611943655,0.14931644525197238,0.18729610178732556,-0.03320052567756076,-0.11847502090185914,-0.1477793548836772,-0.14325779282816037,0.006860259443071092,0.09028227057420656,0.09870713463707201,-0.2180265022017342,-0.2875233138131353
5,0.011109452878433906,0.007237906009509508,-0.1886237681804825,-0.12469492377427327,0.016411576715169723,0.015977400471257463,0.020818563267348728,0.126512717686684,-0.027296403034888343,-0.09143435710397112,0.038179379558860645,-0.16623872101443488,-0.028056795489413578,-0.08522969775086342,0.04319963539628994,-0.08333964033793526,-0.1413903655680937,0.043905099991434375,-0.07074407411460198,-0.05413289506990669,0.07977999044703961,-0.027913688149800112,-0.17019649999688266,0.036166395401630164,-0.0590766605647487,-0.04679000901088086,0.09428588354808833,0.233279131052111,0.056373032060519974,-0.09970138651409413,-0.025559311654542602,-0.02634437132169569,0.03730528688300833,-0.05091094412987424,-0.1068909377188871,-0.1468678960475081,0.06489247751206907,-0.14417402560252177,-0.08672655575366185,0.1433887970528406,-0.13811430861574853,0.03252172560364455,-0.1447055409681067,0.04231169934735647,0.10819880329533464,-0.12387550100304541,-0.0772937684887766,0.10021505328639002,-0.0784419289973663,-0.13175144106043724,0.01664534722999412,0.0071552243469379636,0.023742288973213715,0.253446616815255,0.0010717940601718834,-0.004919211214193596,0.04784458147166942,-0.16309009750581419,-0.08191781011876839,-0.040937875859750575,0.03644645224176097,-0.02109447473226905,-0.07590835170432718,-0.3497206666627355
6,-0.1456885145544972,-0.017559586977201565,-0.11243347099713868,-0.09588501345925779,-0.20454175022455912,0.10726898706643996,0.050269363087247845,-0.053349038130369356,-0.03512727456666454,-0.0911463330036964,0.1406898262680878,-0.18428259244664816,-0.03936522641309028,-0.05160209451921644,0.04726193744546104,-0.06941096033680112,-0.1736743800166853,-4.672752737982123E-4,0.004295262100971705,-0.12648289409339666,0.1340565881071012,-0.06343330930605466,-0.12642121860283886,-0.0625052423868458,-0.10527418251283642,-0.1072230893408432,0.047634179980034476,0.12861798986728262,0.061996965225168246,-0.07074617950975075,0.08446531378623794,0.07098241376508176,-0.07864073796450165,-0.0170715665955237,-0.09465385709438466,-0.18377595965248586,0.0849151947600013,-0.1661076484980423,-0.17265648162351627,0.046921129461617195,-0.08999964023947844,0.06333132755662427,-0.1341214128197515,-0.06429345173909314,0.07407528424890687,-0.03968376844616599,0.006865920829839226,0.09212028854447714,-0.04432937665185574,-0.09629443963269697,0.03327417256860739,0.03993405596129788,0.05914466948673051,0.17577987647088808,0.1988463814101819,-0.013689011856780176,-0.08460273824441146,-0.1354499131422405,-0.11975169444014608,0.010442588542190857,0.0478347558002312,0.06447374768369353,-0.1782717233265311,-0.31500493569581595
7,-0.09895900883135664,-0.04925353922448793,-0.14496399132486537,-0.07375324238876703,-0.10853831263163945,0.06179709641399932,0.07490877789413539,-0.009699906748184394,-0.06515993927434055,-0.11354485201035212,0.108831181487104,-0.19797804112187234,-0.03641299084592219,-0.05781345135667019,0.07223019260313221,-0.10040076236929006,-0.14699814358343674,0.03810181935590648,-0.04462379963367818,-0.09938174901418508,0.0946736936003632,-0.04073035363488211,-0.1731814967270775,-0.012228706593334249,-0.06094548582028716,-0.05758065735453805,0.08734555878346863,0.15490192741706996,0.058525094753224344,-0.08710197844865841,0.06806265710055938,0.045135411513465076,-0.02672175732015475,-0.0057163301556889074,-0.13145204476765532,-0.17374294291031167,0.0727239226655578,-0.16068347676313863,-0.16194011761023805,0.1079386572416715,-0.09615001554813257,0.040960732567585485,-0.1558560059918383,-0.0718164851328848,0.09531913662692303,-0.05644617666194528,0.008506229545897232,0.11063822654190447,-0.06401257042932022,-0.09161438116103417,0.019471619474179705,0.02437995920930293,0.04082209942650896,0.2298197807686011,0.16779896618127302,-0.010421348744551069,-0.040334888276460354,-0.15592527822585103,-0.12105914855439222,0.005351395132578743,0.05495722666105988,0.03297366676080308,-0.1220016754065814,-0.34026181199637756
8,-0.14121084665643224,-0.06868095745286726,-0.1282509302495479,-0.050922680561849655,-0.18423557035114121,0.1425413114017121,0.048135944249038026,-0.10223400661806084,0.020952453883695002,-0.05956376653518651,0.2182521415034336,-0.18292826179321459,-0.03810775492246701,-0.07796565432828133,0.041931521071429334,-0.07115159025793348,-0.1978046739581499,-0.02075046877712021,0.03808546850671047,-0.18610435829877117,0.11019280934797862,0.006015196227793882,-0.11961781888623302,-0.09087009912582454,-0.14154272014816302,-0.09920714266224714,0.05594562943270623,0.12214856381246357,0.06929549042009756,-0.05669850084312411,0.05072669297420331,0.11835096712669534,-0.12491929214794877,-0.02686717159236392,-0.11903372973024091,-0.2119966379174811,0.07036856699617101,-0.16100561462432061,-0.16243302556451714,0.03569430585672861,-0.03910241402950589,0.06378534370894831,-0.09093794997687771,-0.07967775315536915,0.10389545578851934,-0.0668321775688577,0.013129672464171495,0.03870475695909142,-0.019270919252540798,-0.10236660391722986,0.0642014433420963,0.021324883702943588,0.05096643745543901,0.15180464817937578,0.1654822740612577,-0.047081590552143344,-0.12075263117973194,-0.14173949565748606,-0.1322232606142365,-0.022981557920414623,0.09097057695546448,0.12948954079475214,-0.2187272486232268,-0.27157167952439654
9,-0.13963314606204977,0.0012118760936417534,-0.10335929118991546,-0.019648636956910822,-0.19690108345663013,0.10118667737305631,-0.023328368301288618,-0.04765192340812501,-0.09335981684836053,-0.0832662571471624,0.2236940941695912,-0.04341102961973119,-0.10313982697886959,-0.033933740256125694,0.06480023092712243,0.02234278438358462,-0.1477822726461026,-0.05099850923651903,0.14055773066417337,-0.07356120415789905,0.13274388107540996,-0.05588106104411896,-0.08953256783047361,-0.04674146999363602,-0.13935468004409804,-0.127759754508446,-0.026771446519321136,0.11225877375234018,0.035659462763793226,-0.07032402633334801,0.03768434408361451,0.12285720103676413,-0.13285691764593835,-0.08050219623245064,-0.04882107457878581,-0.153126230391576,0.11488765364910272,-0.15133990551556392,-0.2698268754139066,0.017650308008168792,-0.06214565547434797,0.06174905507598392,-0.022568454623956694,-0.047226760504691094,0.12321497580112772,-0.03479689541703309,0.01814953470164146,0.04792161999954202,-0.048838343236102096,-0.06813143307672691,0.055637199973141586,0.04327545352310972,0.05380925726526842,0.0933339158988346,0.23756903440193344,-0.04265022197741075,-0.07155783108825499,-0.14000082720834017,-0.12955521355660574,-0.05372393550625351,0.04937022367854609,0.0670700914219904,-0.2622443637757648,-0.30006127392136234
